"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.3TRIALS_noControl.nlogo"
"experiments 2 seeds"
"01/20/2021 00:12:03:454 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"18","18","315","57167994","65638743","0","22","0","61","1","0","636","57","964","21","11","898","57","1376","21","18","911","57","1396","21","18","0","0","0","0","0","0","0","0","0","0","911","1396","18","316","18","52","24","27"
"17","17","320","25067194","60688251","0","40","10","95","1","0","866","56","1205","16","11","1019","56","1491","16","12","1028","56","1508","16","12","0","0","0","0","0","0","0","0","0","0","1028","1508","12","321","23","60","19","40"
"24","24","342","39912531","76719610","0","10","0","16","0","0","613","62","836","17","12","1032","62","1541","17","21","1043","62","1568","17","22","0","0","0","0","0","0","0","0","0","0","1043","1569","22","343","21","81","33","39"
"2","2","332","821528","85052747","0","24","0","41","0","0","686","60","1018","14","6","989","60","1559","14","17","997","60","1587","14","17","0","0","0","0","0","0","0","0","0","0","997","1587","17","333","28","44","14","47"
"8","8","316","87143558","30513963","0","13","11","10","4","0","776","72","1082","22","9","1059","72","1691","22","13","1064","72","1714","22","13","0","0","0","0","0","0","0","0","0","0","1064","1714","13","317","15","68","21","43"
"5","5","363","11395600","46749482","0","3","0","2","0","0","534","58","648","18","7","1038","58","1501","18","21","1046","58","1528","18","21","0","0","0","0","0","0","0","0","0","0","1046","1528","21","364","18","67","27","37"
"10","10","326","22141847","5084778","0","19","0","41","0","1","818","60","1183","14","10","1018","60","1669","14","15","1024","60","1680","14","15","0","0","0","0","0","0","0","0","0","0","1024","1680","15","327","26","107","16","32"
"21","21","375","66383352","97632641","0","3","0","2","0","0","250","76","184","20","3","1006","81","1446","21","16","1051","81","1559","21","16","0","0","0","0","0","0","0","0","0","0","1051","1559","16","376","19","51","18","43"
"20","20","349","8833021","4965053","0","4","0","0","0","0","356","65","385","16","1","1043","65","1596","16","18","1066","65","1631","16","18","0","0","0","0","0","0","0","0","0","0","1067","1632","18","350","21","110","25","51"
"6","6","309","63287122","69609210","0","45","4","73","0","0","920","67","1298","12","14","1103","67","1711","12","18","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1109","1729","18","310","32","96","16","41"
"19","19","378","31405674","57152599","0","2","0","2","0","0","372","63","533","10","3","1001","70","1479","11","14","1037","70","1593","11","14","0","0","0","0","0","0","0","0","0","0","1037","1593","14","379","24","62","17","35"
"4","4","381","85501717","66634576","0","1","0","2","0","0","74","16","142","7","1","935","63","1377","15","22","1007","63","1534","15","24","0","0","0","0","0","0","0","0","0","0","1007","1534","25","382","22","44","24","39"
"3","3","340","78358869","32456856","0","4","0","7","0","0","523","48","815","14","9","1051","48","1658","14","16","1058","48","1697","14","16","0","0","0","0","0","0","0","0","0","0","1058","1699","16","341","31","74","24","50"
"11","11","284","7201771","47190765","0","3","0","5","0","0","476","59","637","8","8","1183","59","1847","8","27","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1190","1878","27","285","26","129","19","67"
"16","16","348","71489839","80162375","0","5","0","5","0","0","99","41","83","19","2","1057","54","1704","24","21","1084","54","1798","24","21","0","0","0","0","0","0","0","0","0","0","1085","1798","22","349","30","123","29","51"
"15","15","326","66508631","45421485","0","7","0","8","0","0","631","54","910","15","8","1143","54","1814","15","18","1148","54","1839","15","18","0","0","0","0","0","0","0","0","0","0","1148","1839","18","327","31","106","21","62"
"14","14","365","58696853","66116717","0","14","8","6","3","0","884","66","1212","12","17","1070","66","1626","12","25","1073","66","1639","12","25","0","0","0","0","0","0","0","0","0","0","1073","1639","25","366","21","45","24","44"
"1","1","321","88938869","24928751","0","24","4","66","0","0","1033","69","1555","13","15","1140","69","1877","13","16","1143","69","1885","13","16","0","0","0","0","0","0","0","0","0","0","1143","1885","16","322","31","135","12","67"
"23","23","433","64906449","61082360","0","6","1","11","1","0","758","61","1077","16","18","1020","61","1511","16","24","1035","61","1523","16","24","0","0","0","0","0","0","0","0","0","0","1038","1523","24","434","16","39","23","36"
"7","7","361","31237349","43833024","0","3","0","3","0","0","60","12","48","6","0","1003","61","1543","16","13","1067","61","1693","16","15","0","0","0","0","0","0","0","0","0","0","1069","1699","15","362","25","81","25","54"
"32","32","48","70925031","60297825","0","2","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","3","1","0","49","0","0","0","0"
"9","9","396","52225802","10416085","0","7","0","2","0","0","27","0","29","0","0","1001","55","1397","10","13","1117","55","1656","10","15","0","0","0","0","0","0","0","0","0","0","1119","1657","15","397","27","72","24","38"
"13","13","396","44009159","8964737","0","3","0","0","0","0","300","54","302","14","3","1091","54","1701","14","10","1130","54","1762","14","11","0","0","0","0","0","0","0","0","0","0","1130","1763","11","397","23","90","21","53"
"22","22","425","75097682","31760938","0","5","0","5","0","0","728","66","1051","17","8","1009","66","1683","17","11","1029","66","1755","17","11","0","0","0","0","0","0","0","0","0","0","1031","1758","11","426","29","149","16","50"
"37","37","59","67568514","48484209","0","2","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","3","2","0","60","0","0","0","0"
