"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2TRIALS.nlogo"
"experiments 2 seeds"
"08/26/2020 18:00:43:547 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"1","66","183893","188893","8","0","11","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","11","12","0","67","0","0","0","1"
"3","96","199594","201787","14","10","13","3","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","54","27","2","97","0","0","0","1"
"2","132","2001","8604","52","12","107","3","1","172","13","230","3","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","174","231","3","133","1","0","3","5"
"4","136","213311","215152","1","0","4","0","0","8","0","10","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","11","0","137","0","0","1","0"
"6","23","227735","230565","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","0","0","24","0","0","0","0"
"7","147","234713","236688","15","6","8","3","0","30","11","21","5","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","50","25","0","148","0","0","0","0"
"8","107","253214","254987","3","0","13","0","0","17","0","29","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","17","29","0","108","0","0","0","0"
"5","351","34635","36513","3","0","12","0","0","33","0","127","0","0","130","0","389","0","0","150","0","429","0","2","154","432","2","352","0","0","2","4"
"10","98","97782","103154","5","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","12","9","0","99","0","0","0","0"
"11","84","113056","115363","1","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","7","0","85","3","1","1","1"
