"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2.nlogo"
"experiments 2 seeds"
"08/25/2020 00:03:54:034 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"1","43","591140","594650","3","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","2","0","44","0","0","0","1"
"2","191","1695","5756","78","12","183","3","0","396","50","585","17","4","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","417","601","4","192","0","0","0","13"
"3","205","600428","602018","90","24","149","4","0","283","41","400","8","4","293","41","411","8","4","-1","-1","-1","-1","-1","293","411","4","206","0","0","2","9"
"5","287","636151","637728","29","19","14","4","0","65","28","63","7","0","81","28","180","7","0","100","28","210","7","0","103","212","0","288","0","1","3","5"
"4","384","38344","39826","63","20","157","3","0","298","53","324","17","3","341","53","470","17","3","360","53","536","17","3","404","598","4","385","0","1","1","6"
"6","340","672986","674466","27","2","75","0","1","117","11","162","4","1","197","11","376","4","1","280","11","598","4","1","323","626","1","341","2","1","7","6"
"8","147","719872","721557","5","1","3","0","0","19","13","8","5","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","21","10","0","148","0","0","0","0"
"7","319","99576","101238","14","0","12","0","0","93","0","201","0","3","194","10","458","2","4","241","10","513","2","5","243","517","5","320","0","0","5","3"
"10","272","141537","142883","41","0","132","0","0","238","0","387","0","4","317","0","541","0","5","330","0","560","0","5","330","560","5","273","0","0","5","11"
"9","253","730900","732079","82","16","161","2","0","481","26","670","9","5","557","26","809","9","7","-1","-1","-1","-1","-1","559","813","7","254","0","0","11","21"
"12","44","770410","771549","2","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","2","0","45","0","0","0","0"
"11","85","180230","181563","2","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","6","1","86","1","0","0","1"
"14","198","186024","187350","18","7","20","2","0","49","13","31","2","0","55","13","33","2","0","-1","-1","-1","-1","-1","55","33","0","199","0","0","0","0"
"15","111","201280","202681","15","11","6","3","0","45","41","23","14","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","45","23","0","112","0","0","0","1"
"13","324","774619","775786","8","0","13","0","0","124","0","175","0","4","143","0","212","0","4","150","0","229","0","4","154","234","4","325","0","1","3","4"
"16","118","209783","211301","4","0","2","0","0","8","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","7","0","119","0","0","0","2"
"17","319","806872","808139","43","3","132","1","0","178","49","215","14","3","251","49","427","14","3","301","49","517","14","4","302","520","4","320","0","0","1","1"
"18","265","217784","219279","13","0","11","0","0","331","0","524","0","7","554","0","952","0","11","562","0","965","0","11","562","965","11","266","0","0","15","35"
"20","110","268568","269876","5","0","6","0","0","13","0","15","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","15","1","111","0","0","0","1"
"21","202","275849","277183","31","1","114","0","0","124","25","160","5","4","130","25","170","5","5","-1","-1","-1","-1","-1","130","170","5","203","0","0","4","0"
"19","353","846270","847536","36","4","73","0","0","191","57","214","12","3","324","57","481","12","5","434","57","723","12","8","476","768","8","354","1","1","6","8"
"23","183","893773","894926","13","10","9","5","0","54","40","28","16","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","55","31","1","184","0","1","0","1"
"22","369","296058","297310","3","0","0","0","1","6","0","3","0","1","71","0","129","0","2","193","0","351","0","4","290","515","4","370","3","5","5","8"
"25","100","335660","336934","5","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9","5","0","101","0","0","0","0"
"24","365","908206","909341","13","11","11","5","0","26","12","26","5","0","149","12","268","5","2","346","12","717","5","4","402","765","5","366","0","1","5","10"
"27","144","956400","957741","2","0","4","0","0","9","0","14","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","15","0","145","0","0","0","0"
"26","355","341841","343144","6","2","12","3","0","43","13","107","5","0","152","13","386","5","3","166","13","400","5","3","179","403","3","356","0","0","2","3"
"29","81","381371","383054","21","14","7","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","28","21","0","82","0","1","0","1"
"28","146","966061","967232","7","0","14","0","0","49","0","84","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","50","87","0","147","0","0","0","1"
"31","54","980076","981202","2","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","3","0","55","0","0","0","0"
"32","103","984678","985815","4","1","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","40","18","1","104","0","1","0","1"
"30","273","388387","389669","7","0","3","0","0","12","0","11","0","0","18","0","26","0","0","19","0","29","0","0","19","29","0","274","0","0","0","2"
"33","106","991645","992781","4","0","6","0","0","8","0","8","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","8","0","107","0","0","0","0"
"34","251","408035","409365","66","21","148","4","0","267","52","446","17","11","296","52","536","17","12","-1","-1","-1","-1","-1","298","537","12","252","1","1","2","8"
"36","91","437307","438559","3","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","5","0","92","1","0","0","2"
"35","325","998188","999355","51","3","109","2","1","270","40","366","9","4","346","40","519","9","4","360","40","533","9","4","363","537","4","326","1","1","1","4"
"37","272","442996","444233","14","0","10","0","0","35","0","23","0","0","187","0","358","0","0","199","0","374","0","0","199","374","0","273","0","1","4","5"
"38","340","1039157","1040255","5","0","15","0","0","125","0","147","0","1","209","0","358","0","4","224","0","377","0","4","231","384","4","341","1","1","1","9"
"39","188","473694","475086","8","0","5","0","0","68","0","100","0","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","76","111","2","189","0","0","0","0"
"40","30","1076749","1077929","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","1","1","31","0","0","0","0"
"42","16","1080460","1081669","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","0","17","0","0","0","1"
"43","101","1083124","1084356","3","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","9","0","102","1","0","2","0"
"44","157","1089884","1091076","5","0","8","0","0","41","0","73","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","44","75","0","158","0","0","1","1"
"41","329","490007","491403","8","0","8","0","1","57","0","67","0","1","84","0","95","0","1","90","0","104","0","1","96","108","1","330","0","0","1","4"
"46","103","519030","520413","3","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","14","15","1","104","0","0","1","0"
"47","374","526043","527360","42","34","29","19","0","146","55","228","24","2","273","55","526","24","4","319","55","619","24","4","346","635","4","375","0","0","4","5"
"45","572","1103371","1104506","10","1","11","0","0","44","9","48","4","0","85","9","182","4","0","147","9","244","4","0","392","788","8","573","2","5","3","11"
"49","114","1167570","1168685","5","0","6","0","0","16","0","25","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","25","0","115","0","0","1","0"
"50","138","1175102","1176226","2","0","3","0","0","7","0","8","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9","9","0","139","0","0","0","0"
"51","126","1184057","1185210","6","0","9","0","0","22","0","20","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","22","21","0","127","0","0","0","0"
"48","312","573540","575042","44","16","89","4","0","124","26","151","4","2","198","26","299","4","4","252","26","458","4","7","262","469","7","313","0","0","2","9"
"52","85","1192472","1193591","3","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","12","1","86","0","0","0","2"
"54","85","1198171","1199261","18","17","7","3","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","23","12","1","86","0","0","0","1"
"53","445","605663","606903","4","0","5","0","0","17","0","14","0","0","79","0","163","0","2","181","0","428","0","3","265","586","5","446","3","2","3","4"
