"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2.nlogo"
"experiments 2 seeds"
"08/22/2020 16:35:47:680 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"1","96","24170636","24173433","3","0","9","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","21","0","97","0","0","0","0"
"3","209","24184579","24186055","5","1","23","0","0","62","12","146","3","1","68","12","153","3","2","-1","-1","-1","-1","-1","68","153","2","210","0","0","2","1"
"4","44","24209357","24210977","2","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","2","0","45","0","0","0","1"
"2","333","1768","4739","2","0","2","0","0","5","0","8","0","0","34","4","89","2","1","226","34","451","13","3","261","504","3","334","0","0","2","2"
"5","306","24214621","24216237","65","19","124","3","0","183","19","255","3","1","336","19","584","3","4","348","19","598","3","4","350","604","4","307","0","0","5","8"
"6","381","56129","57715","18","1","50","0","0","86","11","115","4","3","227","11","508","4","7","298","11","619","4","8","343","672","8","382","0","1","1","9"
"8","62","126801","128789","4","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","4","0","63","0","1","0","1"
"9","99","133725","135274","2","1","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","23","15","0","100","0","0","0","1"
"7","404","24277425","24279302","10","0","12","1","0","106","22","170","2","2","110","22","183","2","2","121","22","209","2","2","127","227","2","405","0","0","2","3"
"11","70","24332119","24333485","5","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","7","0","71","1","0","0","1"
"12","161","24338386","24339975","71","28","150","7","0","262","58","284","11","5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","265","290","5","162","0","0","1","8"
"13","53","24365363","24367268","4","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","3","0","54","0","0","1","1"
"14","116","24371960","24373873","7","0","8","0","0","23","0","34","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","23","34","0","117","0","0","0","3"
"10","420","144887","146406","17","0","14","0","0","69","0","107","0","1","164","0","350","0","2","295","0","575","0","7","381","685","9","421","0","0","5","4"
"15","89","24385631","24387849","4","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","11","13","0","90","0","0","1","2"
"17","312","24396818","24398539","10","0","15","0","0","63","0","105","0","0","190","23","280","4","2","202","23","290","4","2","204","292","2","313","0","0","2","4"
"16","417","219115","221560","5","0","5","0","0","29","15","20","6","1","72","15","144","6","1","313","15","574","6","4","390","635","6","418","0","0","9","7"
"19","164","290406","292011","14","0","42","0","1","39","0","93","0","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","41","95","3","165","0","0","1","1"
"18","400","24440780","24442261","7","0","11","0","0","52","0","67","0","1","73","0","116","0","1","119","0","241","0","2","205","436","3","401","0","0","3","6"
"20","160","308044","309560","42","1","140","1","0","142","13","207","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","144","209","0","161","0","0","3","6"
"21","77","24495276","24497509","17","13","17","7","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","24","22","0","78","0","0","0","1"
"22","77","330424","332295","3","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9","7","0","78","0","0","1","0"
"24","87","338294","340053","1","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","5","0","88","0","1","0","1"
"23","243","24504601","24506114","6","1","8","0","0","80","9","120","3","0","85","9","129","3","0","-1","-1","-1","-1","-1","87","130","0","244","0","0","0","1"
"25","168","346705","348500","55","8","141","2","1","277","55","403","10","6","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","288","417","6","169","0","0","0","5"
"26","249","24533607","24535775","21","12","17","1","0","50","26","51","4","0","107","26","179","4","0","-1","-1","-1","-1","-1","109","181","0","250","0","0","0","0"
"27","142","378536","380059","63","13","154","4","0","328","45","393","14","4","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","329","395","4","143","0","0","4","7"
"29","200","405418","407207","5","0","5","0","0","54","0","146","0","0","90","0","184","0","2","-1","-1","-1","-1","-1","90","184","2","201","0","0","0","1"
"30","145","434037","435727","31","23","20","3","0","103","46","105","9","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","105","106","1","146","0","0","4","4"
"31","63","456347","458040","2","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","4","0","64","0","0","0","0"
"28","325","24564971","24566481","26","0","64","0","0","316","0","472","0","2","566","29","836","8","3","589","29","858","8","5","593","861","5","326","1","1","5","27"
"33","108","24640554","24642340","40","0","129","0","1","147","38","203","13","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","147","203","3","109","0","0","3","0"
"34","63","24661081","24663321","1","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","6","0","64","0","0","0","0"
"35","106","24669097","24670650","2","0","2","0","0","5","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","7","0","107","0","0","0","0"
"32","412","462707","464206","39","3","143","3","0","207","8","385","4","7","270","17","485","8","9","308","17","578","8","9","342","642","10","413","0","0","4","10"
"36","419","24678997","24680489","52","13","133","4","0","173","34","243","10","3","213","34","375","10","3","287","34","549","10","4","354","677","7","420","0","1","7","9"
"37","288","532639","534073","33","1","107","0","0","175","15","372","3","0","252","15","525","3","0","256","15","532","3","0","257","534","0","289","1","0","3","7"
"38","57","24762863","24765736","2","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","4","0","58","0","0","0","0"
"40","76","24773892","24775750","8","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","14","13","0","77","0","0","1","0"
"39","144","598888","601476","44","16","63","2","0","145","29","199","10","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","147","199","2","145","0","0","1","2"
"42","218","626128","627776","53","0","146","2","0","220","28","372","18","3","260","28","441","18","3","-1","-1","-1","-1","-1","260","442","3","219","0","0","3","6"
"41","441","24785628","24787430","3","0","8","0","0","65","0","74","0","2","173","0","297","0","5","283","0","492","0","5","365","600","5","442","0","0","2","5"
