"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2TRIALS.nlogo"
"experiments 2 seeds"
"08/27/2020 00:27:22:559 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"39","92","1308165","1309267","1","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","9","1","93","0","2","2","0"
"40","107","1313758","1314854","3","0","2","0","1","8","0","9","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","9","1","108","0","0","0","1"
"41","13","1320030","1321103","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","0","14","0","0","0","0"
"38","401","499571","500811","2","0","11","0","0","13","0","93","0","0","57","0","223","0","1","132","25","409","3","2","181","538","3","402","0","0","2","2"
"43","79","539399","540619","5","0","8","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","12","0","80","0","0","0","0"
"44","177","545621","547180","7","0","8","0","0","45","0","115","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","48","125","0","178","0","0","3","0"
"45","194","560992","562274","17","0","37","0","0","66","0","181","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","86","205","1","195","0","0","4","0"
"42","359","1322105","1323192","8","0","9","0","0","62","0","175","0","0","154","0","404","0","2","239","0","641","0","2","338","702","3","360","0","0","5","6"
"47","153","1367550","1368734","0","0","7","0","0","18","0","92","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","20","93","1","154","1","0","0","3"
"46","246","579473","580765","55","9","142","2","0","162","10","491","2","2","179","10","512","2","4","-1","-1","-1","-1","-1","179","517","4","247","0","0","5","6"
"48","189","1380534","1381922","27","0","98","0","0","115","0","317","0","5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","158","343","6","190","0","0","5","4"
"50","80","1401329","1402457","5","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","5","0","81","0","1","0","1"
"49","399","610537","611862","3","0","10","0","0","26","13","75","5","0","101","13","290","5","3","137","13","338","5","3","166","446","3","400","0","0","1","5"
"51","284","1406867","1408075","14","8","15","1","0","74","9","278","3","0","207","18","495","7","0","210","18","501","7","0","210","502","0","285","0","0","6","4"
"53","108","1439564","1440632","25","0","104","0","0","91","0","170","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","91","170","1","109","0","0","2","3"
"54","34","1449638","1450692","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","2","0","35","0","0","0","1"
"52","295","652222","653467","5","0","6","0","0","34","0","122","0","0","80","0","299","0","0","120","0","423","0","1","124","426","1","296","0","0","0","3"
"55","175","1453160","1454232","3","0","4","0","0","36","0","151","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","38","163","0","176","0","0","0","3"
"57","65","1469474","1470542","4","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","6","0","66","1","3","0","1"
"56","152","683316","684552","61","9","130","2","0","162","18","207","5","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","165","209","3","153","0","0","3","3"
"58","133","1475117","1477487","32","14","47","4","0","89","26","118","10","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","92","118","0","134","0","0","1","1"
"59","92","703720","705161","0","0","8","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","10","0","93","1","0","1","1"
"60","90","1491163","1492312","6","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","2","0","91","0","0","0","0"
"62","75","1498239","1499325","3","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","9","0","76","0","0","0","1"
"63","220","1503386","1504468","42","14","106","0","0","106","16","253","0","1","115","16","268","0","1","-1","-1","-1","-1","-1","116","268","1","221","0","0","0","3"
"61","442","710682","712411","5","0","7","0","0","40","0","149","0","0","111","0","307","0","1","134","0","377","0","1","226","635","1","443","1","1","6","7"
"65","65","756531","757818","7","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","7","0","66","0","0","0","0"
"64","254","1523547","1524614","90","41","155","5","2","222","42","483","6","4","277","42","610","6","6","-1","-1","-1","-1","-1","297","628","6","255","0","0","3","5"
"67","33","1554697","1555758","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","2","0","34","0","0","0","0"
"68","140","1558188","1559236","54","9","88","3","1","108","9","188","3","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","110","190","2","141","0","0","2","2"
"66","262","761799","763154","17","0","58","0","0","102","0","299","0","0","167","0","480","0","2","184","0","495","0","3","184","495","3","263","0","0","4","7"
"69","69","1570811","1571863","1","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","4","0","70","0","1","0","1"
"70","92","788322","789560","19","16","9","4","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","35","19","1","93","0","0","0","0"
"71","271","1575562","1576638","10","0","11","0","0","70","0","176","0","2","100","24","204","12","3","127","51","212","15","3","127","212","3","272","0","0","1","2"
"72","332","794830","796091","4","0","8","0","0","26","0","157","0","0","84","0","393","0","1","143","0","543","0","2","149","556","2","333","0","0","3","4"
"73","307","1599369","1600444","47","0","143","0","0","240","0","629","0","3","296","0","692","0","4","311","0","723","0","4","317","731","4","308","0","0","6","15"
"74","235","830251","831491","13","0","40","0","0","155","0","448","0","1","204","0","504","0","1","-1","-1","-1","-1","-1","204","506","1","236","0","0","5","5"
"76","168","855227","856474","55","0","123","0","0","169","0","348","0","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","180","365","3","169","0","0","4","5"
"77","76","874283","875503","3","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","7","0","77","2","1","0","2"
"78","19","879374","880590","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","2","0","20","0","0","0","1"
"75","339","1635462","1636531","9","0","20","0","0","44","0","179","0","1","118","15","355","3","3","187","15","526","3","4","195","538","4","340","0","0","2","6"
"79","429","881983","883187","35","0","82","0","0","156","0","306","0","2","175","0","413","0","2","225","0","519","0","2","298","667","2","430","0","0","5","7"
"81","64","925451","926662","4","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","5","0","65","0","0","0","0"
"80","440","1669626","1670696","16","11","14","4","0","61","36","95","11","0","211","36","365","11","2","269","36","513","11","4","439","793","7","441","0","0","6","22"
"83","140","1719581","1720669","29","0","81","0","0","134","0","310","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","137","310","1","141","0","0","2","2"
"84","99","1734672","1735781","20","17","10","5","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","35","17","0","100","0","0","0","1"
"85","50","1740995","1742057","2","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","3","0","51","0","0","0","0"
"82","397","930163","931358","17","0","48","0","0","84","0","257","0","0","138","0","428","0","0","155","0","462","0","0","171","508","0","398","0","0","3","4"
"87","189","969309","970541","7","0","7","0","0","29","0","116","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","61","156","0","190","0","0","0","0"
"86","257","1744969","1746018","78","16","149","3","1","255","49","410","8","5","434","49","761","8","6","-1","-1","-1","-1","-1","455","782","6","258","0","1","9","15"
"88","274","985140","986357","16","12","13","6","0","66","16","190","6","1","195","16","484","6","2","202","16","499","6","2","202","499","2","275","0","0","4","2"
"90","77","1017584","1019802","3","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","8","0","78","0","0","0","0"
"89","296","1779970","1781046","22","0","86","0","0","121","9","266","4","2","174","9","416","4","2","187","9","435","4","2","187","440","2","297","0","0","4","5"
"92","118","1818862","1820632","4","0","26","0","0","46","10","100","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","46","100","0","119","0","0","0","0"
"91","360","1026448","1028694","45","0","135","0","0","117","0","256","0","0","127","0","292","0","0","171","0","457","0","2","205","548","2","361","0","0","0","15"
"93","319","1833792","1835601","18","0","65","0","0","82","0","203","0","1","157","0","461","0","4","225","0","575","0","6","232","582","7","320","0","0","1","11"
"95","92","1897366","1899223","2","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","4","0","93","0","0","0","0"
"96","136","1907072","1908927","20","12","8","1","0","50","12","107","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","51","108","1","137","0","0","1","1"
"97","87","1925340","1927181","4","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","9","0","88","0","0","1","0"
"94","309","1093375","1095639","73","11","162","2","0","295","41","591","4","2","408","41","745","4","3","412","41","752","4","3","415","755","3","310","0","0","9","5"
"99","173","1157250","1159858","5","0","11","0","0","25","0","141","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","28","146","0","174","0","0","1","0"
"98","305","1934430","1936199","5","0","19","0","0","66","0","219","0","3","131","0","336","0","6","137","0","342","0","6","141","343","6","306","0","0","6","2"
"100","133","1181012","1183304","16","11","14","3","2","20","11","25","3","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","20","27","2","134","0","0","0","0"
"102","65","1195891","1198198","2","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","9","0","66","0","0","0","0"
"101","231","1981785","1983601","1","0","6","0","0","24","0","74","0","0","27","0","88","0","0","-1","-1","-1","-1","-1","27","89","0","232","0","0","1","0"
"103","208","1205495","1207717","9","0","2","0","0","15","0","46","0","0","45","0","137","0","1","-1","-1","-1","-1","-1","45","137","1","209","0","0","6","3"
"104","180","2010890","2012661","6","0","5","0","0","27","0","100","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","55","141","0","181","0","1","1","4"
"105","134","1232374","1234524","10","0","16","0","0","55","0","157","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","58","159","1","135","0","0","0","2"
"106","128","2034516","2036370","4","0","6","0","0","9","0","12","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9","13","0","129","0","0","0","0"
"108","70","2047569","2049138","0","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","3","0","71","0","0","0","0"
"107","217","1252210","1254456","31","0","119","0","0","124","0","444","0","0","170","0","496","0","0","-1","-1","-1","-1","-1","170","496","0","218","0","0","4","4"
"110","29","1294971","1297317","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","2","0","30","0","1","0","1"
"111","112","1300868","1303081","8","0","5","0","0","12","0","8","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","12","8","0","113","1","0","0","1"
"112","75","1312504","1314714","3","0","8","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","13","0","76","0","0","0","2"
"109","294","2055388","2057165","26","15","16","5","0","95","15","316","5","2","171","15","542","5","3","191","15","570","5","3","192","571","4","295","0","0","2","3"
"114","256","2108332","2110323","12","0","6","0","0","152","0","327","0","3","377","0","558","0","6","-1","-1","-1","-1","-1","403","568","7","257","0","0","8","20"
"113","359","1321298","1323869","6","0","15","0","0","53","0","206","0","0","127","0","429","0","0","152","0","510","0","0","161","538","0","360","0","0","3","0"
"115","127","2142898","2143941","44","0","121","0","0","104","0","191","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","104","192","1","128","0","0","2","3"
"117","41","2154642","2155707","3","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","1","0","42","0","0","0","0"
"116","223","1360537","1361752","50","0","151","0","1","194","13","515","6","2","259","13","692","6","3","-1","-1","-1","-1","-1","259","695","3","224","0","0","4","5"
"118","293","2158521","2159584","4","0","5","0","0","21","0","104","0","0","62","0","330","0","2","129","0","419","0","2","133","420","2","294","1","1","4","4"
"119","252","1389633","1390842","18","0","67","0","0","155","0","414","0","1","247","0","582","0","4","-1","-1","-1","-1","-1","248","586","4","253","0","0","4","6"
"120","329","2186183","2187232","16","6","14","3","0","48","6","83","3","1","227","6","507","3","4","250","6","526","3","6","255","530","6","330","0","0","4","4"
"121","200","1418830","1420076","42","0","116","0","0","119","1","227","0","0","137","13","234","1","0","-1","-1","-1","-1","-1","137","234","0","201","0","0","4","3"
"123","269","1436693","1437904","15","0","16","0","0","97","0","302","0","0","169","0","447","0","1","174","0","456","0","1","174","456","1","270","0","0","0","6"
"122","212","2220478","2221543","100","18","193","5","0","539","20","948","6","7","549","20","994","6","7","-1","-1","-1","-1","-1","549","994","7","213","0","0","11","33"
"124","141","1465869","1467326","18","16","17","4","0","26","16","32","4","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","28","32","0","142","0","0","0","1"
