"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2TRIALS.nlogo"
"experiments 2 seeds"
"08/26/2020 12:05:38:972 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"2","93","1954","7432","2","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","9","0","94","0","4","0","2"
"1","107","144628","149459","17","15","6","1","0","20","15","16","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","20","16","0","108","0","0","0","0"
"3","77","16033","18265","4","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","10","0","78","0","0","0","0"
"5","101","24282","26588","17","10","16","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","33","42","0","102","0","0","1","1"
"4","398","160093","161874","11","0","17","0","0","92","0","131","0","3","203","0","442","0","5","284","0","639","0","8","323","682","9","399","0","0","4","6"
"7","61","236696","238630","2","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","3","0","62","0","0","0","0"
"6","240","36284","38349","59","0","156","0","0","385","0","584","0","2","494","0","816","0","3","-1","-1","-1","-1","-1","495","818","3","241","0","0","9","13"
"8","147","244396","246371","5","0","4","0","0","7","0","10","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","13","0","148","0","0","0","1"
"10","68","257982","260624","1","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","5","0","69","0","1","0","1"
"11","92","269129","271590","1","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","10","0","93","0","2","0","1"
"12","81","283965","286435","9","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","14","14","0","82","0","0","0","0"
"9","371","105210","107431","26","0","41","0","0","130","0","191","0","2","227","0","396","0","6","323","0","560","0","8","351","597","8","372","0","1","3","8"
"14","80","197937","200412","4","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","10","0","81","1","0","0","1"
"13","298","296681","299895","34","0","90","0","0","151","0","196","0","2","188","0","252","0","3","216","0","293","0","3","216","297","3","299","0","0","4","9"
"16","143","354067","356144","39","16","72","4","1","143","22","146","5","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","145","148","1","144","0","0","0","2"
"17","93","376099","377914","5","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","9","0","94","1","0","0","1"
"15","311","207170","209311","4","0","9","0","0","87","0","100","0","2","154","0","225","0","3","161","0","235","0","4","162","236","4","312","0","0","0","1"
"18","148","384523","386251","33","0","152","0","0","123","0","226","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","126","227","1","149","0","0","0","3"
"20","281","410086","412027","34","0","96","0","1","159","20","244","4","5","238","21","479","4","10","250","21","492","4","10","252","493","10","282","0","0","4","7"
"19","336","253043","255454","40","0","76","0","0","402","0","575","0","3","491","0","693","0","5","522","0","758","0","6","530","771","7","337","0","0","7","16"
"21","288","462507","464223","74","4","264","3","0","373","21","610","5","5","413","21","721","5","6","425","21","741","5","6","427","743","6","289","0","0","6","12"
"23","64","526613","528644","3","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","4","0","65","0","0","0","0"
"22","409","328802","331005","24","15","20","0","0","125","40","102","9","0","152","40","208","9","1","204","40","356","9","2","263","513","3","410","1","0","1","5"
"25","99","399708","404764","2","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","3","0","100","0","0","0","0"
"26","40","412033","414081","3","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","2","0","41","0","0","0","1"
"24","183","533442","535334","11","0","32","0","1","85","0","137","0","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","87","144","2","184","0","0","0","4"
"27","132","418118","420372","10","0","20","0","0","82","0","160","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","83","162","0","133","0","1","1","3"
"29","111","437591","439792","12","8","9","1","0","22","9","18","2","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","22","18","0","112","1","2","0","1"
"30","83","448490","451855","3","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","5","0","84","0","0","0","0"
"28","264","563099","565921","19","0","44","0","0","125","0","247","0","1","182","0","399","0","1","195","0","414","0","1","195","414","1","265","0","0","3","2"
"32","115","608631","610554","9","0","11","0","0","20","0","22","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","20","22","0","116","0","0","0","0"
"33","53","619847","621968","2","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","2","0","54","0","0","0","0"
"34","13","626278","628501","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","2","0","14","0","0","0","0"
"31","292","457393","459654","5","0","14","0","0","39","0","55","0","0","96","0","184","0","1","111","0","193","0","1","111","194","2","293","0","0","3","1"
"35","112","630997","634748","0","0","7","0","0","2","0","17","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","17","0","113","0","0","0","1"
"36","245","503024","505282","1","0","6","0","0","5","0","14","0","0","58","0","163","0","0","-1","-1","-1","-1","-1","59","168","0","246","0","0","1","3"
