"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.nlogo"
"experiments 2 seeds"
"08/11/2020 12:11:13:342 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"1","97","169511","172470","3","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9","9","0","98","0","0","0","0"
"2","120","1936","5271","6","0","2","0","0","14","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","14","7","0","121","0","0","0","1"
"3","218","179702","181267","5","0","5","0","0","37","0","32","0","0","55","0","47","0","1","-1","-1","-1","-1","-1","55","47","1","219","0","0","0","1"
"5","225","198215","199556","7","0","6","0","0","31","0","77","0","2","42","0","87","0","2","-1","-1","-1","-1","-1","43","87","2","226","0","0","1","0"
"6","116","217742","219047","8","0","5","0","0","18","0","19","0","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","18","19","2","117","0","0","1","0"
"4","257","13868","15683","97","9","209","4","0","624","51","758","14","10","741","56","962","14","14","-1","-1","-1","-1","-1","749","974","14","258","0","0","8","29"
"7","235","225629","226986","43","0","132","1","0","152","22","226","7","1","224","22","368","7","1","-1","-1","-1","-1","-1","231","369","2","236","0","0","4","3"
"9","18","263699","266136","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","2","0","19","0","0","0","0"
"8","286","77453","79113","4","0","2","0","0","12","0","8","0","0","103","0","225","0","0","149","0","314","0","1","150","315","1","287","0","0","0","5"
"11","57","118006","119760","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","3","0","58","0","0","0","0"
"12","90","123733","125485","15","12","13","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","34","30","0","91","0","0","0","0"
"13","141","131548","133274","37","1","134","0","0","154","23","223","7","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","155","224","2","142","0","0","3","3"
"10","440","268411","270578","8","0","4","0","1","26","0","37","0","1","86","0","189","0","6","142","0","344","0","6","222","499","7","441","0","0","3","3"
"15","43","322359","323765","4","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","1","0","44","0","0","0","0"
"14","115","149073","150585","44","4","84","2","0","135","22","162","8","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","135","162","2","116","0","0","1","4"
"17","140","162757","164426","7","5","4","0","0","20","10","11","2","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","22","11","0","141","0","2","0","2"
"18","132","172849","174414","18","13","4","0","0","28","13","12","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","28","14","0","133","0","1","0","1"
"16","541","326997","328343","7","0","9","0","0","30","0","31","0","0","124","0","329","0","1","178","0","362","0","1","346","705","3","542","0","0","4","13"
"19","385","182725","184793","18","7","14","5","0","164","8","246","6","3","342","16","602","7","5","442","41","667","10","11","461","680","11","386","0","0","4","14"
"20","195","414147","416652","18","0","40","0","0","102","0","155","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","110","165","1","196","0","0","1","1"
"21","150","272357","274302","23","8","43","6","0","68","27","104","8","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","69","106","0","151","0","0","1","3"
"22","129","443954","445440","14","0","16","0","0","48","21","32","2","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","48","32","0","130","0","0","0","2"
"23","97","286727","288358","1","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","11","0","98","0","0","0","1"
"25","77","293287","294806","5","0","6","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","14","1","78","0","0","1","1"
"24","180","454336","455697","37","19","34","3","0","101","20","165","4","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","109","173","1","181","3","2","0","1"
"26","456","299676","301232","29","17","29","4","0","85","17","109","4","4","100","17","180","4","4","108","17","198","4","4","182","352","4","457","0","0","4","5"
"27","287","473323","474697","87","46","149","5","0","168","61","223","12","2","296","61","581","12","5","322","61","609","12","5","324","610","5","288","0","0","7","6"
"28","153","346111","347700","15","0","18","0","0","107","0","100","0","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","108","103","2","154","0","0","1","2"
"29","135","517400","518730","59","5","133","1","0","226","26","307","6","4","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","228","308","4","136","0","0","2","3"
"30","139","359795","361310","21","0","91","0","0","86","14","153","5","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","89","153","2","140","0","0","1","3"
"31","95","537925","539237","17","8","12","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","28","33","0","96","0","0","1","1"
"32","171","374338","375867","20","0","84","0","1","114","12","188","1","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","124","193","3","172","0","0","3","4"
"34","187","392654","394040","61","10","156","6","0","259","41","451","18","6","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","264","462","6","188","0","0","3","14"
"33","348","545090","546359","22","0","75","0","0","226","0","298","0","2","416","0","756","0","5","466","0","817","0","6","475","832","6","349","0","0","4","6"
"35","183","419238","420713","8","0","10","0","0","51","0","80","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","71","98","2","184","0","0","1","0"
"37","70","434072","435642","0","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","6","0","71","0","0","0","1"
"36","104","600266","601563","23","17","8","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","39","25","1","105","0","0","1","1"
"39","138","607789","609071","38","2","123","1","1","156","35","187","8","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","157","187","2","139","0","0","4","1"
"40","124","624688","626034","25","18","8","1","0","30","18","13","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","30","13","0","125","0","1","0","1"
"41","67","633204","634433","2","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","8","0","68","0","0","0","0"
"38","277","439473","440989","60","2","118","0","1","178","12","245","3","4","271","12","525","3","4","281","12","531","3","5","281","533","5","278","0","0","3","4"
"42","253","638595","639913","34","21","25","9","0","174","26","254","11","1","268","26","464","11","2","-1","-1","-1","-1","-1","278","473","2","254","1","0","7","8"
"44","69","673645","674926","2","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","8","0","70","0","0","0","0"
"43","378","475063","476562","22","3","29","0","0","139","18","270","5","3","281","18","471","5","3","327","18","558","5","6","340","578","7","379","0","0","7","8"
"46","231","523059","524614","6","0","14","0","0","116","0","208","0","2","182","0","357","0","3","-1","-1","-1","-1","-1","185","358","3","232","0","0","3","3"
"47","66","551861","553478","3","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","4","0","67","0","0","0","0"
"45","253","678749","680112","21","1","21","1","0","223","28","241","5","2","551","59","757","10","5","-1","-1","-1","-1","-1","555","769","5","254","0","0","22","37"
"49","187","728748","730069","49","15","113","4","0","173","42","287","12","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","200","324","3","188","0","0","0","4"
"50","169","765478","767638","30","0","91","0","1","114","9","147","2","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","115","149","3","170","0","0","1","2"
"51","79","793222","795646","5","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","4","1","80","0","0","0","1"
"48","345","557112","558603","77","19","161","6","1","306","43","364","15","2","451","43","726","15","4","483","43","772","15","5","500","804","5","346","0","0","12","15"
"52","81","804066","808472","4","0","9","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","12","13","1","82","0","0","0","1"
"54","115","819362","822335","3","0","2","0","0","7","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","7","0","116","0","0","0","0"
"55","133","836329","839324","45","1","134","0","0","155","47","268","7","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","156","269","2","134","0","0","7","1"
"53","285","649572","653425","31","5","36","0","0","125","14","146","2","0","286","14","548","2","4","303","14","563","2","5","305","564","5","286","0","0","4","2"
"56","173","875784","878542","36","0","103","0","1","233","21","349","9","5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","242","359","5","174","0","0","6","4"
"58","81","924203","926867","18","14","7","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","29","19","0","82","0","0","0","0"
"59","16","936808","939530","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","0","0","17","0","0","0","0"
"60","121","942193","944767","6","0","6","0","0","22","0","24","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","23","24","0","122","0","0","0","0"
"57","311","725652","729675","11","0","20","0","0","222","18","365","6","4","471","18","829","6","6","507","20","865","7","7","534","876","7","312","0","0","10","10"
"61","350","958720","961502","17","1","95","0","1","160","9","309","5","1","214","9","481","5","2","264","12","547","5","4","305","581","4","351","0","0","2","6"
