"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4trials10kCtrl1NStartCtrl2.nlogo"
"experiments 2 seeds"
"01/28/2021 22:46:45:912 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"24","24","319","39912531","76719610","13592280","4","0","6","0","0","9","0","12","0","0","11","0","12","0","1","18","0","16","0","1","0","0","0","0","0","0","0","0","0","0","18","16","1","320","0","0","0","0"
"23","23","284","64906449","61082360","71600702","4","0","4","0","0","27","14","17","5","0","28","14","18","5","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","34","20","0","285","0","0","0","2"
"2","2","274","821528","85052747","79039483","32","9","50","3","0","169","36","267","13","2","183","37","301","15","2","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","201","307","3","275","0","0","6","5"
"9","9","316","52225802","10416085","15795628","13","0","7","0","0","96","6","108","4","1","99","6","118","4","1","115","6","132","4","1","0","0","0","0","0","0","0","0","0","0","115","132","1","317","0","1","2","3"
"18","18","357","57167994","65638743","87085666","19","1","50","0","0","70","18","135","1","1","72","18","142","1","1","149","18","290","1","1","0","0","0","0","0","0","0","0","0","0","152","290","1","358","0","0","2","1"
"5","5","470","11395600","46749482","55101658","5","0","2","0","0","6","0","3","0","0","6","0","6","0","0","84","0","147","0","2","0","0","0","0","0","0","0","0","0","0","85","147","2","471","0","2","1","2"
"4","4","434","85501717","66634576","33544962","1","0","2","0","0","1","0","2","0","0","3","0","4","0","1","227","32","377","6","4","0","0","0","0","0","0","0","0","0","0","271","388","5","435","1","2","3","3"
"13","13","463","44009159","8964737","69800288","3","0","0","0","0","16","0","8","0","0","18","0","12","0","0","219","0","312","0","5","0","0","0","0","0","0","0","0","0","0","219","312","5","464","1","0","2","7"
"10","10","381","22141847","5084778","99092997","28","1","78","0","0","219","20","390","7","5","310","20","554","7","6","430","45","693","12","7","0","0","0","0","0","0","0","0","0","0","430","693","7","382","0","0","6","5"
"15","15","475","66508631","45421485","89682049","4","0","4","0","0","23","12","14","2","0","25","12","15","2","0","246","12","293","2","5","0","0","0","0","0","0","0","0","0","0","247","294","5","476","0","0","4","2"
"22","22","375","75097682","31760938","3786452","6","0","3","0","0","22","0","66","0","0","285","0","518","0","4","537","0","878","0","9","0","0","0","0","0","0","0","0","0","0","537","878","9","376","1","8","1","15"
"8","8","532","87143558","30513963","31823795","13","11","9","4","0","44","11","72","4","0","46","11","78","4","0","136","11","254","4","0","0","0","0","0","0","0","0","0","0","0","143","262","0","533","3","3","1","5"
"17","17","352","25067194","60688251","9903643","40","11","107","5","0","210","55","296","17","2","412","55","675","17","6","544","55","885","17","7","0","0","0","0","0","0","0","0","0","0","546","887","7","353","0","4","11","12"
"20","20","360","8833021","4965053","31076845","4","0","6","0","0","37","21","36","1","0","376","21","651","1","1","560","22","891","1","4","0","0","0","0","0","0","0","0","0","0","566","901","4","361","3","9","9","15"
"3","3","341","78358869","32456856","31794527","6","0","7","0","0","112","0","218","0","3","414","11","739","4","9","605","18","968","5","12","0","0","0","0","0","0","0","0","0","0","606","968","12","342","2","0","9","21"
"28","28","253","97526189","36517817","29959085","3","0","4","0","0","11","0","16","0","0","11","0","19","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","19","0","254","0","1","0","2"
"19","19","581","31405674","57152599","97674910","4","0","2","0","0","5","0","2","0","0","5","0","4","0","0","271","0","518","0","0","0","0","0","0","0","0","0","0","0","0","284","530","0","582","0","1","2","5"
"6","6","393","63287122","69609210","74834936","29","0","43","0","0","322","50","342","11","11","498","61","673","18","12","596","61","827","18","13","0","0","0","0","0","0","0","0","0","0","596","829","13","394","1","4","11","10"
"21","21","672","66383352","97632641","44435694","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","130","0","172","0","0","0","0","0","0","0","0","0","0","0","0","221","347","1","673","1","0","1","2"
"14","14","516","58696853","66116717","29143090","16","10","8","1","0","75","27","59","9","1","209","27","318","9","2","446","27","713","9","7","0","0","0","0","0","0","0","0","0","0","451","715","7","517","3","3","5","10"
"1","1","366","88938869","24928751","82712124","19","2","67","0","0","233","21","383","3","3","577","21","995","3","9","755","61","1167","21","13","0","0","0","0","0","0","0","0","0","0","755","1167","13","367","0","9","9","20"
"7","7","507","31237349","43833024","85571118","4","0","2","0","0","80","0","172","0","0","280","0","467","0","1","552","0","881","0","9","0","0","0","0","0","0","0","0","0","0","555","881","9","508","0","2","9","12"
