"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2TRIALS.nlogo"
"experiments 2 seeds"
"08/27/2020 09:21:07:468 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"1","113","32812521","32815088","7","0","3","0","0","13","0","10","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","10","0","114","0","0","0","0"
"2","251","1597","4250","6","0","5","0","0","21","0","111","0","0","91","0","309","0","0","-1","-1","-1","-1","-1","98","318","0","252","0","0","0","1"
"3","177","32823968","32825218","52","0","153","0","1","201","0","353","0","5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","205","360","6","178","0","0","5","12"
"5","133","32848040","32849349","31","15","49","2","1","76","17","152","2","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","77","154","2","134","0","0","3","1"
"4","332","32924","34297","6","0","5","0","0","39","0","155","0","0","96","0","326","0","2","113","0","412","0","2","138","442","4","333","0","0","1","1"
"7","93","70590","72128","1","0","11","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","17","0","94","0","2","0","2"
"8","182","78456","79768","17","11","14","0","0","42","11","87","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","50","104","1","183","0","0","0","2"
"9","103","98914","100171","2","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","4","0","104","0","0","0","0"
"6","230","32862356","32863745","34","4","89","0","2","349","17","714","6","3","602","34","1119","12","13","-1","-1","-1","-1","-1","602","1121","13","231","0","0","19","39"
"10","72","105761","106974","18","13","7","5","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","19","9","0","73","0","0","0","2"
"11","255","32918099","32919502","23","0","71","0","0","329","23","595","8","3","442","23","768","8","6","-1","-1","-1","-1","-1","448","784","6","256","0","0","1","9"
"12","474","111540","112681","5","0","3","0","0","68","0","171","0","1","152","0","283","0","2","301","21","572","3","2","419","726","5","475","1","2","4","9"
"14","89","174107","175276","9","0","7","0","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","11","16","2","90","0","0","1","1"
"13","292","32957430","32958595","10","0","17","0","0","105","0","398","0","1","193","0","566","0","3","213","0","584","0","3","217","585","3","293","0","1","3","4"
"15","317","181207","182317","26","18","19","6","0","175","18","469","6","0","341","30","701","8","5","402","30","772","8","5","407","777","5","318","0","0","6","13"
"17","73","230555","231852","3","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","4","0","74","0","0","0","0"
"18","33","236233","237323","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","2","0","34","0","0","0","1"
"16","450","32998129","32999328","4","0","1","0","0","22","0","126","0","0","58","0","180","0","1","151","0","382","0","3","446","706","5","451","1","2","3","9"
"19","136","239678","240717","2","0","5","0","0","10","0","11","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","12","0","137","0","0","0","2"
"21","251","248641","249695","4","0","11","0","0","23","0","30","0","0","69","0","168","0","1","-1","-1","-1","-1","-1","76","174","1","252","0","0","1","2"
"20","316","33055927","33057392","5","0","3","0","0","43","0","147","0","0","133","0","420","0","0","225","0","618","0","2","235","628","2","317","0","0","2","7"
"23","236","33098616","33099826","18","0","50","0","0","90","11","216","4","2","163","11","344","4","2","-1","-1","-1","-1","-1","166","345","2","237","0","0","2","9"
"24","105","33124470","33125689","11","0","33","0","0","24","0","93","0","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","24","93","2","106","0","0","1","4"
"22","382","272747","274121","48","0","137","0","1","277","2","518","0","6","397","36","622","6","6","421","36","755","6","6","448","791","7","383","0","3","5","8"
"25","79","33132849","33133928","1","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","7","0","80","0","0","0","0"
"26","318","322990","324515","3","0","15","0","1","19","0","110","0","1","21","0","119","0","1","45","0","240","0","1","62","253","1","319","0","0","1","1"
"28","116","353919","355020","5","0","6","0","0","6","0","17","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","18","0","117","0","0","0","0"
"27","282","33138659","33139756","2","0","8","0","0","42","0","175","0","0","130","0","443","0","0","141","0","454","0","2","142","454","2","283","0","0","2","2"
"30","23","33172214","33173317","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","3","0","24","0","0","0","0"
"29","189","360661","361759","74","23","141","2","0","156","38","244","5","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","177","294","0","190","0","0","1","6"
"31","212","33175011","33176099","71","18","143","1","0","235","22","494","2","3","272","22","541","2","3","-1","-1","-1","-1","-1","272","541","3","213","0","0","5","8"
"33","93","33208999","33210384","3","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","5","0","94","0","0","0","2"
"32","223","385285","386602","6","0","5","0","0","42","0","145","0","0","64","0","176","0","0","-1","-1","-1","-1","-1","65","178","0","224","0","0","0","4"
"35","41","406070","407106","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","3","0","42","0","0","0","0"
"36","198","409813","410950","19","14","12","3","0","57","19","131","5","0","72","19","157","5","0","-1","-1","-1","-1","-1","72","157","0","199","0","0","0","3"
"37","62","428705","429987","0","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","3","0","63","0","0","0","1"
"34","251","33215660","33216739","26","0","82","0","0","139","0","279","0","2","211","0","465","0","4","-1","-1","-1","-1","-1","215","468","5","252","0","0","4","7"
"38","329","433850","435379","5","0","13","0","0","43","0","198","0","1","110","0","412","0","1","136","0","550","0","1","146","564","1","330","0","0","4","3"
"39","295","33248129","33249434","17","0","25","0","0","127","0","394","0","2","206","0","565","0","2","236","0","615","0","2","238","615","2","296","0","0","4","7"
"40","61","470940","471993","1","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","3","0","62","0","0","0","1"
"41","212","33284038","33285119","8","0","5","0","0","26","0","122","0","0","64","0","210","0","1","-1","-1","-1","-1","-1","64","211","1","213","0","0","1","0"
"43","75","33302536","33303636","0","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","5","0","76","0","1","0","2"
"42","192","475301","476390","24","0","110","0","1","120","0","416","0","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","151","469","2","193","1","0","5","5"
"45","28","498500","500243","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","3","0","29","0","1","0","2"
"44","45","33308087","33310093","3","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","1","0","46","0","0","0","1"
"46","82","502977","504844","18","12","9","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","27","21","2","83","1","1","0","1"
"48","78","512144","514073","5","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","10","0","79","0","0","1","0"
"49","136","519142","520635","6","0","5","0","0","36","0","135","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","37","139","0","137","0","0","0","1"
"50","25","535810","537351","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","0","26","0","0","0","1"
"51","25","539677","540901","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","0","26","0","0","0","0"
"47","344","33314301","33316028","17","0","66","0","0","142","0","369","0","1","192","0","527","0","3","304","0","712","0","4","332","739","4","345","2","4","5","12"
"53","60","33370002","33371137","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","3","0","61","0","0","0","1"
"52","230","544106","545449","49","20","116","6","1","159","25","251","7","3","199","25","394","7","3","-1","-1","-1","-1","-1","201","396","3","231","0","0","5","8"
"54","208","33374419","33375499","65","7","152","2","0","245","22","524","6","3","309","31","639","8","3","-1","-1","-1","-1","-1","309","639","3","209","0","0","3","7"
"56","17","33402457","33403576","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","1","1","18","0","0","0","0"
"55","236","571527","572584","59","0","145","0","0","268","32","580","7","4","323","32","651","7","4","-1","-1","-1","-1","-1","323","652","4","237","0","0","4","9"
"58","52","602131","603189","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","3","0","53","0","0","0","1"
"59","95","606304","607369","3","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","11","0","96","0","0","0","2"
"57","293","33404921","33406052","72","19","134","3","0","200","39","361","9","3","305","39","642","9","3","327","39","682","9","4","327","684","4","294","0","1","4","7"
"60","175","612368","613467","42","9","139","6","0","202","57","447","18","4","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","219","459","5","176","0","0","2","5"
"61","203","33442357","33443464","6","0","4","0","0","14","0","70","0","0","41","0","133","0","1","-1","-1","-1","-1","-1","41","133","1","204","0","0","2","1"
"62","274","632661","633733","5","0","8","0","0","30","0","173","0","1","137","0","457","0","1","166","0","475","0","1","166","475","1","275","0","0","1","2"
