"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4trialsCtrl1N4StartCtrl2.nlogo"
"experiments 2 seeds"
"02/08/2021 20:32:13:724 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"19","19","601","31405674","57152599","97674910","4","0","2","0","0","5","0","2","0","0","5","0","4","0","0","8","0","5","0","0","0","0","0","0","0","0","0","0","0","0","10","8","0","602","0","0","1","0"
"8","8","611","87143558","30513963","31823795","13","11","9","4","0","44","11","72","4","0","47","11","77","4","0","65","11","90","4","1","0","0","0","0","0","0","0","0","0","0","69","91","1","612","0","0","0","1"
"2","2","631","821528","85052747","79039483","32","9","50","3","0","169","36","267","13","2","186","36","299","13","2","269","36","492","13","2","0","0","0","0","0","0","0","0","0","0","272","496","2","632","3","2","6","8"
"10","10","602","22141847","5084778","99092997","28","1","78","0","0","219","20","390","7","5","316","20","557","7","5","430","35","711","9","7","0","0","0","0","0","0","0","0","0","0","444","727","7","603","4","8","6","9"
"7","7","591","31237349","43833024","85571118","4","0","2","0","0","80","0","172","0","0","268","0","466","0","1","527","42","805","8","7","0","0","0","0","0","0","0","0","0","0","529","805","8","592","1","4","6","14"
"22","22","595","75097682","31760938","3786452","6","0","3","0","0","22","0","66","0","0","274","0","521","0","4","514","0","915","0","7","0","0","0","0","0","0","0","0","0","0","516","915","7","596","2","5","4","14"
"6","6","634","63287122","69609210","74834936","29","0","43","0","0","322","50","342","11","11","499","61","672","17","11","616","62","856","17","12","0","0","0","0","0","0","0","0","0","0","618","859","12","635","3","0","12","17"
"17","17","627","25067194","60688251","9903643","40","11","107","5","0","210","55","296","17","2","402","55","688","17","6","580","55","921","17","12","0","0","0","0","0","0","0","0","0","0","585","924","12","628","3","3","12","14"
"20","20","597","8833021","4965053","31076845","4","0","6","0","0","37","21","36","1","0","374","21","656","1","1","654","54","1053","9","10","0","0","0","0","0","0","0","0","0","0","655","1056","10","598","5","9","6","24"
"3","3","616","78358869","32456856","31794527","6","0","7","0","0","112","0","218","0","3","422","13","729","4","9","653","50","1018","12","14","0","0","0","0","0","0","0","0","0","0","657","1021","14","617","5","7","9","19"
