"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4trials10kCtrl1NStartNoFragExWorkers.nlogo"
"experiments 2 seeds"
"02/22/2021 11:45:57:685 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"23","23","269","64906449","61082360","71600702","4","0","4","0","0","27","14","17","5","0","28","14","18","5","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","32","20","0","270","0","0","0","2"
"8","8","264","87143558","30513963","31823795","13","11","9","4","0","44","11","72","4","0","46","11","78","4","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","47","79","0","265","0","0","0","2"
"19","19","305","31405674","57152599","97674910","4","0","2","0","0","5","0","2","0","0","5","0","4","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","15","15","0","306","0","0","0","0"
"24","24","355","39912531","76719610","13592280","4","0","6","0","0","9","0","12","0","0","11","0","12","0","1","19","0","17","0","1","0","0","0","0","0","0","0","0","0","0","21","17","1","356","0","0","0","0"
"5","5","333","11395600","46749482","55101658","5","0","2","0","0","6","0","3","0","0","6","0","6","0","0","19","0","10","0","0","0","0","0","0","0","0","0","0","0","0","19","10","1","334","0","2","1","1"
"2","2","301","821528","85052747","79039483","32","9","50","3","0","169","36","267","13","2","183","37","301","15","2","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","202","311","3","302","0","0","6","5"
"18","18","374","57167994","65638743","87085666","19","1","50","0","0","70","18","135","1","1","72","18","142","1","1","192","18","294","1","2","0","0","0","0","0","0","0","0","0","0","192","294","2","375","0","0","2","1"
"14","14","371","58696853","66116717","29143090","16","10","8","1","0","75","27","59","9","1","209","27","318","9","2","421","27","571","9","6","0","0","0","0","0","0","0","0","0","0","421","571","6","372","2","0","5","7"
"10","10","355","22141847","5084778","99092997","28","1","78","0","0","219","20","390","7","5","310","20","554","7","6","428","32","696","10","6","0","0","0","0","0","0","0","0","0","0","431","698","6","356","0","2","7","4"
"4","4","486","85501717","66634576","33544962","1","0","2","0","0","1","0","2","0","0","3","0","4","0","1","222","0","359","0","6","0","0","0","0","0","0","0","0","0","0","222","361","6","487","1","2","1","9"
