"BehaviorSpace results (NetLogo 6.1.2-beta2)"
"SIsaR_0.9.5.2TRIALS_wave1.nlogo"
"experiments 2 seeds"
"12/08/2020 16:41:19:623 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"1","1","292","123456","24928751","2","0","3","0","0","54","0","63","0","0","138","0","229","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","147","236","0","293","0","0","4","2"
"3","3","33","123456","32456856","0","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","3","0","34","0","0","0","0"
"2","2","359","123456","85052747","4","0","18","0","0","152","20","228","1","2","312","57","526","13","4","349","57","600","13","5","0","0","0","0","0","0","0","0","0","0","351","601","5","360","0","0","4","4"
"5","5","88","123456","46749482","4","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","30","23","0","89","0","0","0","0"
"4","4","347","123456","66634576","7","6","6","0","0","118","13","239","2","4","276","13","641","2","5","311","13","691","2","5","0","0","0","0","0","0","0","0","0","0","313","692","5","348","1","0","5","10"
"6","6","296","123456","69609210","2","0","3","0","0","26","0","77","0","0","221","15","519","3","3","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","229","538","3","297","0","0","6","3"
"7","7","63","123456","43833024","2","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","3","9","0","64","0","0","0","0"
"8","8","83","123456","30513963","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","5","4","0","84","0","0","0","0"
"10","10","76","123456","5084778","1","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","3","11","0","77","0","0","0","0"
"11","11","238","123456","47190765","2","0","8","0","0","60","0","91","0","2","65","0","100","0","3","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","65","100","3","239","0","0","1","2"
"9","9","285","123456","10416085","1","0","4","0","0","41","0","107","0","0","207","0","488","0","2","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","221","493","2","286","0","0","2","1"
"13","13","99","123456","8964737","3","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","5","9","0","100","0","0","0","0"
"14","14","25","123456","66116717","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1","2","0","26","0","0","0","0"
"15","15","78","123456","45421485","2","1","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","18","16","0","79","0","0","0","0"
"16","16","50","123456","80162375","2","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","2","3","0","51","0","0","0","0"
"12","12","268","123456","72967329","9","8","10","6","0","141","72","199","14","3","216","72","353","14","4","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","217","353","4","269","0","0","1","4"
"17","17","81","123456","60688251","0","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","2","6","0","82","0","0","0","0"
"19","19","22","123456","57152599","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","2","0","23","0","0","0","0"
"18","18","90","123456","65638743","4","1","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","23","15","0","91","0","0","0","1"
"20","20","76","123456","4965053","5","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","10","0","77","0","0","0","0"
"22","22","22","123456","31760938","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","2","0","23","0","0","0","0"
"21","21","229","123456","97632641","21","17","7","1","0","50","17","38","1","0","92","17","170","1","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","92","170","0","230","0","0","1","2"
"23","23","306","123456","61082360","0","0","6","0","0","47","0","81","0","0","71","0","141","0","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","109","167","2","307","0","0","1","0"
"25","25","106","123456","89099961","10","8","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","27","48","0","107","0","0","1","0"
"26","26","123","123456","70006978","0","0","6","0","0","6","0","12","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","6","12","0","124","0","0","0","1"
"27","27","91","123456","80836320","3","0","8","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","29","23","0","92","0","0","0","0"
"24","24","356","123456","76719610","14","11","2","1","0","27","15","32","1","0","152","15","404","1","2","229","15","530","1","4","0","0","0","0","0","0","0","0","0","0","232","532","4","357","0","1","4","8"
"28","28","64","123456","36517817","0","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","2","7","0","65","0","0","0","0"
"30","30","75","123456","10853444","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","2","6","0","76","0","0","0","0"
"29","29","128","123456","28771309","0","0","10","0","0","7","0","21","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","7","21","0","129","0","0","0","0"
"31","31","64","123456","31640199","3","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","5","3","0","65","0","0","0","0"
"32","32","62","123456","60297825","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","2","4","0","63","0","0","0","0"
"33","33","126","123456","35785564","1","0","4","0","0","37","14","24","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","37","24","0","127","0","0","0","2"
"35","35","82","123456","45030945","1","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1","10","0","83","0","0","0","0"
"36","36","113","123456","97706487","11","10","4","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","52","18","1","114","0","0","0","0"
"34","34","281","123456","56345860","2","0","3","0","0","53","0","152","0","0","95","0","186","0","2","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","98","188","2","282","0","0","0","1"
"38","38","59","123456","69806314","0","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","4","0","60","0","0","0","0"
"37","37","123","123456","48484209","12","7","9","2","0","52","34","26","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","52","26","0","124","0","0","0","1"
"40","40","140","123456","51776405","4","0","4","0","0","46","0","41","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","47","42","0","141","0","0","0","1"
"39","39","340","123456","99146328","0","0","2","0","0","13","0","38","0","0","243","37","482","13","1","287","37","532","13","1","0","0","0","0","0","0","0","0","0","0","290","533","1","341","0","0","3","5"
"42","42","25","123456","59907445","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","3","0","26","0","0","0","0"
"43","43","76","123456","50430491","1","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","5","10","0","77","0","0","0","0"
"44","44","69","123456","83621164","2","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","6","9","0","70","0","0","0","0"
"41","41","403","123456","7148707","5","0","5","0","0","28","0","33","0","1","138","0","344","0","2","218","0","512","0","3","0","0","0","0","0","0","0","0","0","0","219","512","3","404","0","0","2","5"
"46","46","118","123456","66387614","2","0","5","0","0","17","0","13","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","17","13","0","119","0","0","0","1"
"47","47","84","123456","5799712","0","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","5","12","0","85","0","0","0","0"
"48","48","109","123456","72437350","10","7","5","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","53","17","1","110","0","0","0","0"
"49","49","81","123456","31077160","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","5","5","0","82","0","0","0","0"
"50","50","89","123456","24644960","0","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1","6","0","90","0","0","0","0"
"45","45","354","123456","62560178","18","15","7","3","0","75","15","167","3","1","260","15","589","3","3","278","15","615","3","3","0","0","0","0","0","0","0","0","0","0","278","617","3","355","0","0","2","5"
"52","52","87","123456","27181894","3","0","8","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","9","15","0","88","0","0","1","0"
"53","53","78","123456","96692942","2","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","16","18","0","79","0","0","0","0"
"54","54","126","123456","62260395","12","12","8","2","1","19","14","18","2","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","19","18","1","127","0","0","0","0"
"55","55","54","123456","43587015","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","3","3","0","55","0","0","0","0"
"51","51","526","123456","97899773","5","0","9","0","0","127","38","140","11","5","137","38","199","11","5","183","46","318","19","5","0","0","0","0","0","0","0","0","0","0","198","328","6","527","0","1","3","5"
"57","57","38","123456","9847939","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1","3","0","39","0","0","0","0"
