"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4.1trials10kCtrl1NStartNoFragOCT05-60d.nlogo"
"experiments 2 seeds"
"03/24/2021 15:21:01:997 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"19","19","283","31405674","57152599","97674910","4","0","2","0","0","5","0","2","0","0","5","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","10","0","284","0","0","0","0"
"23","23","296","64906449","61082360","71600702","4","0","4","0","0","27","14","17","5","0","28","14","18","5","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","37","22","0","297","0","0","0","2"
"21","21","319","66383352","97632641","44435694","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","20","0","17","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","20","17","0","320","0","0","0","0"
"24","24","326","39912531","76719610","13592280","4","0","6","0","0","9","0","12","0","0","11","0","12","0","1","16","0","17","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","17","1","327","0","0","0","0"
"8","8","301","87143558","30513963","31823795","13","11","9","4","0","44","11","72","4","0","46","11","78","4","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","49","79","0","302","0","0","0","2"
"16","16","318","71489839","80162375","94721921","3","0","5","0","0","11","0","14","0","0","11","0","17","0","0","17","0","28","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","17","28","0","319","1","0","1","1"
"5","5","326","11395600","46749482","55101658","5","0","2","0","0","6","0","3","0","0","6","0","6","0","0","16","0","12","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","12","1","327","0","2","1","1"
"2","2","280","821528","85052747","79039483","32","9","50","3","0","169","36","267","13","2","183","37","301","15","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","203","305","3","281","0","0","6","5"
"18","18","424","57167994","65638743","87085666","19","1","50","0","0","70","18","135","1","1","72","18","142","1","1","145","18","279","1","1","148","18","289","1","1","-1","-1","-1","-1","-1","152","290","1","425","0","0","1","1"
"10","10","364","22141847","5084778","99092997","28","1","78","0","0","219","20","390","7","5","310","20","554","7","6","413","20","690","7","7","419","20","693","7","7","-1","-1","-1","-1","-1","419","693","7","365","1","1","5","6"
"6","6","355","63287122","69609210","74834936","29","0","43","0","0","322","50","342","11","11","498","61","673","18","12","612","61","817","18","12","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","615","818","12","356","2","5","12","12"
"32","32","267","70925031","60297825","83265554","3","0","4","0","0","6","0","12","0","1","6","0","14","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","15","1","268","0","0","0","1"
"15","15","496","66508631","45421485","89682049","4","0","4","0","0","23","12","14","2","0","25","12","15","2","0","85","12","113","2","1","234","12","299","2","4","358","12","520","2","8","364","524","8","497","3","2","8","8"
"28","28","368","97526189","36517817","29959085","3","0","4","0","0","11","0","16","0","0","11","0","19","0","0","14","0","22","0","0","17","0","22","0","0","-1","-1","-1","-1","-1","17","22","0","369","0","1","0","2"
"14","14","470","58696853","66116717","29143090","16","10","8","1","0","75","27","59","9","1","209","27","318","9","2","332","27","544","9","4","370","27","579","9","5","389","27","593","9","5","389","594","5","471","1","2","2","8"
"31","31","365","6053550","31640199","74275454","2","0","1","0","0","4","0","5","0","0","4","0","7","0","0","15","0","16","0","0","17","0","16","0","0","-1","-1","-1","-1","-1","17","16","0","366","0","2","0","2"
"17","17","406","25067194","60688251","9903643","40","11","107","5","0","210","55","296","17","2","412","55","675","17","6","546","55","853","17","8","555","55","862","17","9","-1","-1","-1","-1","-1","557","862","9","407","1","2","11","12"
"1","1","349","88938869","24928751","82712124","19","2","67","0","0","233","21","383","3","3","577","21","995","3","9","736","46","1151","14","12","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","740","1155","12","350","1","4","8","16"
"9","9","566","52225802","10416085","15795628","13","0","7","0","0","96","6","108","4","1","99","6","118","4","1","116","6","140","4","2","148","6","237","4","2","215","6","357","4","2","275","453","2","567","0","4","3","5"
"22","22","461","75097682","31760938","3786452","6","0","3","0","0","22","0","66","0","0","285","0","518","0","4","509","0","831","0","11","528","0","857","0","11","534","0","872","0","11","534","872","11","462","2","5","1","14"
"20","20","413","8833021","4965053","31076845","4","0","6","0","0","37","21","36","1","0","376","21","651","1","1","612","21","965","1","4","659","21","1004","1","6","-1","-1","-1","-1","-1","668","1012","6","414","1","2","9","15"
"7","7","443","31237349","43833024","85571118","4","0","2","0","0","80","0","172","0","0","280","0","467","0","1","476","1","762","2","6","612","55","869","14","8","-1","-1","-1","-1","-1","642","889","8","444","1","2","7","11"
"4","4","549","85501717","66634576","33544962","1","0","2","0","0","1","0","2","0","0","3","0","4","0","1","164","0","339","0","4","261","0","468","0","4","376","18","668","2","8","384","672","8","550","3","1","8","8"
"3","3","441","78358869","32456856","31794527","6","0","7","0","0","112","0","218","0","3","414","11","739","4","9","616","34","948","7","12","633","42","959","10","12","-1","-1","-1","-1","-1","641","963","12","442","1","2","10","19"
"12","12","361","98977339","72967329","35710070","0","0","4","1","0","64","25","114","7","1","725","25","1085","7","8","919","25","1305","7","15","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","921","1311","15","362","3","8","12","38"
"13","13","615","44009159","8964737","69800288","3","0","0","0","0","16","0","8","0","0","18","0","12","0","0","141","0","223","0","0","364","0","584","0","0","478","0","718","0","1","530","821","1","616","3","5","1","8"
"11","11","572","7201771","47190765","61300997","6","0","5","0","0","18","0","12","0","0","20","0","15","0","0","215","0","252","0","2","363","0","482","0","4","606","0","820","0","9","623","840","10","573","5","6","5","13"
"30","30","483","25425989","10853444","37062578","26","1","49","1","1","139","41","171","12","4","142","41","178","12","4","156","41","207","12","5","201","41","324","12","7","239","41","406","12","7","241","406","7","484","1","1","5","4"
"40","40","241","3602106","51776405","60448235","8","0","20","0","0","67","12","90","7","0","68","12","91","7","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","68","91","0","242","0","0","0","1"
"43","43","260","33815868","50430491","47021418","3","0","3","0","0","10","0","6","0","1","12","0","7","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","14","7","1","261","0","0","0","0"
"49","49","236","28006094","31077160","61439941","4","0","4","0","0","25","11","18","3","1","25","11","20","3","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","25","20","1","237","0","0","0","0"
"25","25","352","82184414","89099961","70458664","20","0","43","0","0","240","12","339","3","2","735","31","1013","8","8","916","33","1187","9","10","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","917","1187","10","353","3","5","7","35"
"45","45","292","97179470","62560178","58092175","4","0","1","0","0","4","0","2","0","0","6","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","4","0","293","0","0","0","0"
"29","29","410","2249469","28771309","3110668","4","0","0","0","0","96","0","160","0","1","404","28","522","8","4","730","54","986","11","10","749","54","1012","11","10","-1","-1","-1","-1","-1","749","1016","10","411","2","3","10","19"
"48","48","269","32862769","72437350","71645281","11","10","7","3","0","33","11","28","3","0","34","11","30","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","34","32","0","270","0","0","0","1"
"26","26","528","34728713","70006978","68140195","3","0","4","0","0","22","0","24","0","0","22","0","26","0","0","38","0","67","0","0","166","0","278","0","0","533","57","820","8","11","582","846","12","529","3","8","5","17"
"27","27","642","41247351","80836320","34196944","32","1","97","0","0","245","30","276","4","3","264","30","290","4","5","368","30","467","4","5","408","30","506","4","7","494","30","645","4","7","540","732","7","643","1","4","10","20"
"51","51","312","77907762","97899773","63783044","5","1","6","0","0","17","7","24","6","1","17","7","26","6","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","17","31","1","313","0","0","1","1"
"54","54","254","51793955","62260395","53807479","0","0","3","0","0","9","0","15","0","0","12","0","17","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","12","18","1","255","0","0","0","3"
"34","34","370","4917658","56345860","66049408","35","0","82","0","0","233","42","290","10","4","404","42","646","10","5","555","67","788","16","10","558","67","791","16","10","-1","-1","-1","-1","-1","558","791","10","371","4","3","15","12"
"46","46","359","3113868","66387614","8136192","31","1","79","0","1","262","59","313","11","3","386","59","462","11","6","436","59","526","11","7","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","437","528","7","360","0","0","8","8"
"42","42","397","68194937","59907445","54412044","4","0","4","0","0","24","0","47","0","0","146","0","295","0","0","393","0","660","0","5","449","31","713","10","5","-1","-1","-1","-1","-1","450","715","5","398","2","10","7","10"
"57","57","276","22466764","9847939","62027305","4","2","14","0","0","47","7","42","1","0","49","7","43","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","51","46","0","277","0","0","0","1"
"47","47","351","68929817","5799712","3919833","11","7","7","4","0","76","45","60","16","2","406","45","585","16","5","541","45","753","16","9","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","543","757","9","352","1","3","10","22"
"39","39","511","67551394","99146328","81418827","14","0","32","0","0","96","10","135","3","1","98","10","138","3","1","117","10","151","3","1","138","10","214","3","1","245","10","382","3","4","254","387","5","512","0","1","3","6"
"33","33","400","81522418","35785564","65548969","5","0","2","0","0","33","0","34","0","0","473","0","665","0","7","941","59","1237","21","18","956","63","1256","21","18","-1","-1","-1","-1","-1","957","1256","18","401","4","25","7","25"
"56","56","327","32207760","37720664","80575491","1","0","3","0","0","1","0","3","0","0","2","0","4","0","0","9","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9","7","0","328","0","0","0","1"
"60","60","256","46484114","51362207","95295735","3","0","4","0","0","10","0","12","0","0","12","0","13","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","14","13","0","257","0","0","0","0"
"38","38","400","32443488","69806314","40763008","22","17","10","3","0","53","25","52","6","0","354","25","528","6","2","591","25","788","6","5","597","25","796","6","5","-1","-1","-1","-1","-1","599","797","5","401","2","3","8","14"
