"BehaviorSpace results (NetLogo 6.1.2-beta2)"
"SIsaR_0.9.5.1TRIALS_wave1.nlogo"
"experiments 2 seeds"
"12/06/2020 01:34:38:637 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"1","1","38","123456","24928751","1","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1","2","0","39","0","0","1","0"
"2","2","120","123456","85052747","2","0","3","0","0","7","0","10","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","7","10","0","121","0","0","1","0"
"3","3","126","123456","32456856","2","0","5","0","1","12","0","12","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","12","12","1","127","0","1","1","0"
"6","6","261","123456","69609210","3","0","2","0","0","9","0","12","0","0","87","0","188","0","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","89","190","1","262","0","0","1","2"
"5","5","258","123456","46749482","8","0","12","0","0","147","0","324","0","2","233","0","500","0","4","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","234","501","4","259","0","0","3","4"
"4","4","317","123456","66634576","22","14","18","4","1","195","52","229","11","5","375","52","665","11","8","405","52","707","11","8","0","0","0","0","0","0","0","0","0","0","405","707","8","318","1","0","5","9"
"9","9","99","123456","10416085","3","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","7","8","0","100","0","0","1","0"
"8","8","152","123456","30513963","5","0","6","0","0","71","43","40","12","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","71","42","3","153","0","0","1","1"
"7","7","314","123456","43833024","6","1","10","0","0","92","20","123","5","1","273","27","547","8","4","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","291","558","4","315","2","0","6","4"
"10","10","63","123456","5084778","2","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","4","4","0","64","0","0","1","0"
