"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4.1trials10kCtrl1NStartNoFrag60-25.nlogo"
"experiments 2 seeds"
"03/21/2021 16:05:27:209 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"60","60","298","46484114","51362207","95295735","3","0","4","0","0","10","0","12","0","0","12","0","13","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","15","0","299","0","0","0","0"
"17","17","414","25067194","60688251","9903643","40","11","107","5","0","210","55","296","17","2","412","55","675","17","6","550","55","888","17","7","565","55","906","17","7","-1","-1","-1","-1","-1","567","910","7","415","1","4","11","12"
"1","1","341","88938869","24928751","82712124","19","2","67","0","0","233","21","383","3","3","577","21","995","3","9","736","65","1166","17","12","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","736","1167","12","342","2","4","9","19"
"22","22","422","75097682","31760938","3786452","6","0","3","0","0","22","0","66","0","0","285","0","518","0","4","594","65","907","12","11","618","70","939","13","11","-1","-1","-1","-1","-1","621","943","11","423","3","5","1","13"
"35","35","352","8074323","45030945","619353","26","2","78","0","0","490","70","645","9","6","769","83","1080","15","9","800","83","1124","15","9","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","802","1126","9","353","1","2","20","38"
"7","7","444","31237349","43833024","85571118","4","0","2","0","0","80","0","172","0","0","280","0","467","0","1","485","0","775","0","12","530","0","859","0","13","-1","-1","-1","-1","-1","539","873","14","445","2","4","12","12"
"44","44","514","62598886","83621164","87066955","1","0","3","0","0","35","15","29","1","1","108","15","196","1","1","325","15","582","1","4","385","15","732","1","5","407","15","749","1","5","409","751","5","515","3","7","7","8"
"27","27","509","41247351","80836320","34196944","32","1","97","0","0","245","30","276","4","3","264","30","290","4","5","416","30","513","4","7","484","30","630","4","8","521","30","670","4","10","526","672","10","510","0","1","8","16"
"37","37","353","67568514","48484209","9025782","6","0","6","0","0","93","0","125","0","1","750","55","1074","9","9","811","59","1169","10","13","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","815","1170","14","354","1","11","14","35"
"12","12","329","98977339","72967329","35710070","0","0","4","1","0","64","25","114","7","1","725","25","1085","7","8","892","25","1337","7","12","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","892","1337","12","330","3","7","13","39"
"14","14","530","58696853","66116717","29143090","16","10","8","1","0","75","27","59","9","1","209","27","318","9","2","358","27","559","9","5","390","27","591","9","5","395","27","598","9","6","395","601","6","531","3","4","4","8"
"42","42","491","68194937","59907445","54412044","4","0","4","0","0","24","0","47","0","0","146","0","295","0","0","405","0","673","0","1","482","0","811","0","2","533","0","863","0","2","534","868","2","492","1","8","4","16"
"3","3","428","78358869","32456856","31794527","6","0","7","0","0","112","0","218","0","3","414","11","739","4","9","635","42","996","9","13","648","42","1015","9","13","-1","-1","-1","-1","-1","650","1020","13","429","4","2","10","19"
"29","29","403","2249469","28771309","3110668","4","0","0","0","0","96","0","160","0","1","404","28","522","8","4","725","51","1062","14","9","744","51","1089","14","9","-1","-1","-1","-1","-1","748","1092","9","404","5","11","12","27"
"13","13","528","44009159","8964737","69800288","3","0","0","0","0","16","0","8","0","0","18","0","12","0","0","225","0","370","0","3","377","0","634","0","6","458","16","716","8","8","468","730","9","529","1","3","4","12"
