"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4trials1kCtrl1NStartNoFrag.nlogo"
"experiments 2 seeds"
"02/17/2021 23:21:22:603 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"23","23","269","64906449","61082360","71600702","4","0","4","0","0","27","14","17","5","0","28","14","18","5","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","32","20","0","270","0","0","0","2"
"19","19","305","31405674","57152599","97674910","4","0","2","0","0","5","0","2","0","0","5","0","4","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","13","15","0","306","0","0","0","0"
"5","5","297","11395600","46749482","55101658","5","0","2","0","0","6","0","3","0","0","6","0","6","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","10","0","298","0","2","1","1"
"8","8","264","87143558","30513963","31823795","13","11","9","4","0","44","11","72","4","0","46","11","78","4","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","47","79","0","265","0","0","0","2"
"21","21","341","66383352","97632641","44435694","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","32","0","27","0","2","0","0","0","0","0","0","0","0","0","0","33","27","2","342","0","0","0","0"
"2","2","318","821528","85052747","79039483","32","9","50","3","0","169","36","267","13","2","183","37","301","15","2","204","55","309","19","3","0","0","0","0","0","0","0","0","0","0","204","309","3","319","0","0","6","5"
"18","18","368","57167994","65638743","87085666","19","1","50","0","0","70","18","135","1","1","72","18","142","1","1","174","18","295","1","4","0","0","0","0","0","0","0","0","0","0","174","295","4","369","0","0","1","4"
"28","28","253","97526189","36517817","29959085","3","0","4","0","0","11","0","16","0","0","11","0","19","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","19","0","254","0","1","0","2"
"24","24","531","39912531","76719610","13592280","4","0","6","0","0","9","0","12","0","0","11","0","12","0","1","139","0","186","0","4","0","0","0","0","0","0","0","0","0","0","144","192","4","532","0","1","3","2"
"4","4","472","85501717","66634576","33544962","1","0","2","0","0","1","0","2","0","0","3","0","4","0","1","291","0","430","0","3","0","0","0","0","0","0","0","0","0","0","291","430","3","473","2","0","5","5"
"6","6","342","63287122","69609210","74834936","29","0","43","0","0","322","50","342","11","11","498","61","673","18","12","631","61","827","18","13","0","0","0","0","0","0","0","0","0","0","633","827","13","343","2","6","11","10"
"10","10","396","22141847","5084778","99092997","28","1","78","0","0","219","20","390","7","5","310","20","554","7","6","466","56","710","18","6","0","0","0","0","0","0","0","0","0","0","467","711","6","397","0","1","6","6"
"17","17","386","25067194","60688251","9903643","40","11","107","5","0","210","55","296","17","2","412","55","675","17","6","589","55","864","17","10","0","0","0","0","0","0","0","0","0","0","589","864","10","387","0","3","11","12"
"14","14","435","58696853","66116717","29143090","16","10","8","1","0","75","27","59","9","1","209","27","318","9","2","463","27","678","9","7","0","0","0","0","0","0","0","0","0","0","485","691","8","436","3","2","3","6"
"3","3","378","78358869","32456856","31794527","6","0","7","0","0","112","0","218","0","3","414","11","739","4","9","684","48","1006","14","12","0","0","0","0","0","0","0","0","0","0","684","1006","12","379","1","1","10","22"
"22","22","409","75097682","31760938","3786452","6","0","3","0","0","22","0","66","0","0","285","0","518","0","4","604","36","924","12","10","0","0","0","0","0","0","0","0","0","0","617","928","10","410","1","5","1","13"
"20","20","398","8833021","4965053","31076845","4","0","6","0","0","37","21","36","1","0","376","21","651","1","1","657","21","1010","1","4","0","0","0","0","0","0","0","0","0","0","659","1011","4","399","1","8","10","17"
"1","1","376","88938869","24928751","82712124","19","2","67","0","0","233","21","383","3","3","577","21","995","3","9","774","62","1206","20","13","0","0","0","0","0","0","0","0","0","0","774","1206","13","377","2","8","10","17"
"30","30","269","25425989","10853444","37062578","26","1","49","1","1","139","41","171","12","4","142","41","178","12","4","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","144","178","4","270","0","0","3","3"
