"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2.nlogo"
"experiments 2 seeds"
"08/20/2020 17:20:57:165 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"2","82","1658","5326","9","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","14","6","1","83","0","0","0","1"
"1","89","328487","331970","14","0","10","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","29","21","1","90","0","0","1","1"
"4","40","341230","343562","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","3","0","41","1","0","0","2"
"5","384","347853","349366","19","12","16","4","0","33","12","27","4","0","58","12","133","4","0","92","12","177","4","0","95","183","0","385","0","0","2","3"
"3","342","12667","14904","23","2","59","0","0","215","17","328","3","0","315","17","637","3","1","419","17","743","3","2","425","749","4","343","0","0","13","19"
"7","54","76113","77994","2","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","3","0","55","0","0","0","0"
"6","190","395882","397522","1","0","4","0","0","16","0","121","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","21","132","0","191","0","0","1","2"
"8","113","83054","84722","2","0","4","0","0","9","0","9","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9","9","0","114","1","0","0","2"
"9","71","417270","418974","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","3","0","72","0","0","0","1"
"11","222","424617","426207","48","40","19","11","1","97","52","139","14","2","144","52","259","14","4","-1","-1","-1","-1","-1","144","260","4","223","0","0","1","6"
"12","104","458267","459799","10","9","5","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","24","12","0","105","0","0","0","1"
"10","316","92804","94519","29","7","40","5","0","270","19","321","11","4","490","20","935","11","5","525","20","980","11","5","535","992","5","317","0","0","15","36"
"13","469","467325","468908","2","0","13","0","0","10","0","27","0","0","26","0","122","0","1","34","0","138","0","1","158","511","1","470","0","0","5","4"
"14","574","157195","158828","11","0","12","0","0","19","0","37","0","0","85","0","199","0","0","115","0","283","0","0","253","622","5","575","0","0","2","6"
"16","97","241848","243726","2","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","17","12","0","98","1","0","0","1"
"17","112","251371","253113","7","0","9","0","0","48","32","26","5","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","48","26","0","113","0","0","0","0"
"15","378","533458","534855","5","4","3","0","0","19","13","16","5","2","93","19","227","11","3","222","43","447","16","4","293","610","4","379","0","0","2","6"
"19","121","595662","597327","6","0","6","0","0","17","0","11","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","17","11","0","122","0","0","0","0"
"18","235","262320","263943","2","0","9","0","0","32","0","39","0","0","47","0","51","0","0","-1","-1","-1","-1","-1","48","53","0","236","0","0","1","1"
"20","65","606748","608332","2","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","6","0","66","0","0","0","1"
