"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4trialsCtrl1NStartCrtl2.nlogo"
"experiments 2 seeds"
"01/25/2021 11:39:40:213 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"23","23","284","64906449","61082360","71600702","4","0","4","0","0","27","14","17","5","0","28","14","18","5","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","34","20","0","285","0","0","0","2"
"24","24","319","39912531","76719610","13592280","4","0","6","0","0","9","0","12","0","0","11","0","12","0","1","18","0","16","0","1","0","0","0","0","0","0","0","0","0","0","18","16","1","320","0","0","0","0"
"2","2","274","821528","85052747","79039483","32","9","50","3","0","169","36","267","13","2","183","37","301","15","2","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","201","307","3","275","0","0","6","5"
"9","9","316","52225802","10416085","15795628","13","0","7","0","0","96","6","108","4","1","99","6","118","4","1","115","6","132","4","1","0","0","0","0","0","0","0","0","0","0","115","132","1","317","0","1","2","3"
"18","18","357","57167994","65638743","87085666","19","1","50","0","0","70","18","135","1","1","72","18","142","1","1","149","18","290","1","1","0","0","0","0","0","0","0","0","0","0","152","290","1","358","0","0","2","1"
"5","5","470","11395600","46749482","55101658","5","0","2","0","0","6","0","3","0","0","6","0","6","0","0","84","0","147","0","2","0","0","0","0","0","0","0","0","0","0","85","147","2","471","0","2","1","2"
"13","13","463","44009159","8964737","69800288","3","0","0","0","0","16","0","8","0","0","18","0","12","0","0","219","0","312","0","5","0","0","0","0","0","0","0","0","0","0","219","312","5","464","1","0","2","7"
"4","4","434","85501717","66634576","33544962","1","0","2","0","0","1","0","2","0","0","3","0","4","0","1","227","32","377","6","4","0","0","0","0","0","0","0","0","0","0","271","388","5","435","1","2","3","3"
"15","15","475","66508631","45421485","89682049","4","0","4","0","0","23","12","14","2","0","25","12","15","2","0","246","12","293","2","5","0","0","0","0","0","0","0","0","0","0","247","294","5","476","0","0","4","2"
"8","8","532","87143558","30513963","31823795","13","11","9","4","0","44","11","72","4","0","46","11","78","4","0","136","11","254","4","0","0","0","0","0","0","0","0","0","0","0","143","262","0","533","3","3","1","5"
"10","10","381","22141847","5084778","99092997","28","1","78","0","0","219","20","390","7","5","310","20","554","7","6","430","45","693","12","7","0","0","0","0","0","0","0","0","0","0","430","693","7","382","0","0","6","5"
"28","28","253","97526189","36517817","29959085","3","0","4","0","0","11","0","16","0","0","11","0","19","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","19","0","254","0","1","0","2"
"3","3","341","78358869","32456856","31794527","6","0","7","0","0","112","0","218","0","3","414","11","739","4","9","605","18","968","5","12","0","0","0","0","0","0","0","0","0","0","606","968","12","342","2","0","9","21"
"22","22","375","75097682","31760938","3786452","6","0","3","0","0","22","0","66","0","0","285","0","518","0","4","537","0","878","0","9","0","0","0","0","0","0","0","0","0","0","537","878","9","376","1","8","1","15"
"20","20","360","8833021","4965053","31076845","4","0","6","0","0","37","21","36","1","0","376","21","651","1","1","560","22","891","1","4","0","0","0","0","0","0","0","0","0","0","566","901","4","361","3","9","9","15"
"17","17","352","25067194","60688251","9903643","40","11","107","5","0","210","55","296","17","2","412","55","675","17","6","544","55","885","17","7","0","0","0","0","0","0","0","0","0","0","546","887","7","353","0","4","11","12"
"19","19","581","31405674","57152599","97674910","4","0","2","0","0","5","0","2","0","0","5","0","4","0","0","271","0","518","0","0","0","0","0","0","0","0","0","0","0","0","284","530","0","582","0","1","2","5"
"6","6","393","63287122","69609210","74834936","29","0","43","0","0","322","50","342","11","11","498","61","673","18","12","596","61","827","18","13","0","0","0","0","0","0","0","0","0","0","596","829","13","394","1","4","11","10"
"14","14","516","58696853","66116717","29143090","16","10","8","1","0","75","27","59","9","1","209","27","318","9","2","446","27","713","9","7","0","0","0","0","0","0","0","0","0","0","451","715","7","517","3","3","5","10"
"21","21","672","66383352","97632641","44435694","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","130","0","172","0","0","0","0","0","0","0","0","0","0","0","0","221","347","1","673","1","0","1","2"
"1","1","366","88938869","24928751","82712124","19","2","67","0","0","233","21","383","3","3","577","21","995","3","9","755","61","1167","21","13","0","0","0","0","0","0","0","0","0","0","755","1167","13","367","0","9","9","20"
"16","16","536","71489839","80162375","94721921","3","0","5","0","0","11","0","14","0","0","11","0","17","0","0","464","41","796","10","3","0","0","0","0","0","0","0","0","0","0","485","810","3","537","2","3","5","12"
"7","7","507","31237349","43833024","85571118","4","0","2","0","0","80","0","172","0","0","280","0","467","0","1","552","0","881","0","9","0","0","0","0","0","0","0","0","0","0","555","881","9","508","0","2","9","12"
"12","12","358","98977339","72967329","35710070","0","0","4","1","0","64","25","114","7","1","725","25","1085","7","8","906","25","1340","7","15","0","0","0","0","0","0","0","0","0","0","907","1344","15","359","4","9","16","38"
"32","32","267","70925031","60297825","83265554","3","0","4","0","0","6","0","12","0","1","6","0","14","0","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","8","15","1","268","0","0","0","1"
"31","31","294","6053550","31640199","74275454","2","0","1","0","0","4","0","5","0","0","4","0","7","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","10","13","1","295","1","2","0","2"
"30","30","269","25425989","10853444","37062578","26","1","49","1","1","139","41","171","12","4","142","41","178","12","4","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","144","178","4","270","0","0","3","3"
"11","11","560","7201771","47190765","61300997","6","0","5","0","0","18","0","12","0","0","20","0","15","0","0","591","0","799","0","11","0","0","0","0","0","0","0","0","0","0","619","834","12","561","3","0","3","15"
"40","40","241","3602106","51776405","60448235","8","0","20","0","0","67","12","90","7","0","68","12","91","7","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","68","91","0","242","0","0","0","1"
"45","45","256","97179470","62560178","58092175","4","0","1","0","0","4","0","2","0","0","6","0","2","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","7","2","0","257","0","0","0","0"
"39","39","367","67551394","99146328","81418827","14","0","32","0","0","96","10","135","3","1","98","10","138","3","1","119","10","155","3","1","0","0","0","0","0","0","0","0","0","0","119","155","1","368","0","0","0","4"
"49","49","236","28006094","31077160","61439941","4","0","4","0","0","25","11","18","3","1","25","11","20","3","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","25","20","1","237","0","0","0","0"
"25","25","349","82184414","89099961","70458664","20","0","43","0","0","240","12","339","3","2","735","31","1013","8","8","948","58","1224","12","13","0","0","0","0","0","0","0","0","0","0","949","1225","13","350","9","24","6","32"
"29","29","380","2249469","28771309","3110668","4","0","0","0","0","96","0","160","0","1","404","28","522","8","4","693","51","1057","14","8","0","0","0","0","0","0","0","0","0","0","693","1058","8","381","9","13","11","29"
"51","51","303","77907762","97899773","63783044","5","1","6","0","0","17","7","24","6","1","17","7","26","6","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","17","30","1","304","0","1","2","1"
"27","27","562","41247351","80836320","34196944","32","1","97","0","0","245","30","276","4","3","264","30","290","4","5","564","30","746","4","9","0","0","0","0","0","0","0","0","0","0","573","751","9","563","1","1","10","19"
"48","48","305","32862769","72437350","71645281","11","10","7","3","0","33","11","28","3","0","34","11","30","3","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","42","35","0","306","0","0","0","1"
"26","26","619","34728713","70006978","68140195","3","0","4","0","0","22","0","24","0","0","22","0","26","0","0","529","57","821","15","7","0","0","0","0","0","0","0","0","0","0","542","843","8","620","0","1","4","6"
"34","34","343","4917658","56345860","66049408","35","0","82","0","0","233","42","290","10","4","404","42","646","10","5","553","72","810","11","11","0","0","0","0","0","0","0","0","0","0","554","810","11","344","4","4","15","14"
"41","41","452","68072606","7148707","9723387","2","0","2","0","0","5","0","4","0","0","6","0","8","0","0","199","0","376","0","5","0","0","0","0","0","0","0","0","0","0","199","376","5","453","0","1","1","7"
"38","38","376","32443488","69806314","40763008","22","17","10","3","0","53","25","52","6","0","354","25","528","6","2","566","25","846","6","7","0","0","0","0","0","0","0","0","0","0","566","846","7","377","6","4","8","11"
"35","35","310","8074323","45030945","619353","26","2","78","0","0","490","70","645","9","6","769","83","1080","15","9","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","793","1126","9","311","0","3","19","38"
"56","56","259","32207760","37720664","80575491","1","0","3","0","0","1","0","3","0","0","2","0","4","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","3","5","0","260","0","0","0","1"
