"BehaviorSpace results (NetLogo 6.1.2-beta2)"
"SIsaR_0.9.5.2TRIALS_wave2BchangeWorld.nlogo"
"experiments 2 seeds"
"12/09/2020 20:41:49:228 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"27","27","348","41247351","80836320","32","1","97","0","0","245","30","276","4","3","263","30","295","4","5","359","40","424","4","6","0","0","0","0","0","0","0","0","0","0","361","426","6","349","0","1","6","10"
"31","31","69","6053550","31640199","2","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","4","5","0","70","0","0","0","0"
"25","25","363","82184414","89099961","20","0","43","0","0","240","12","339","3","2","499","12","815","3","9","583","12","909","3","10","0","0","0","0","0","0","0","0","0","0","583","909","10","364","0","1","6","19"
"32","32","100","70925031","60297825","3","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","6","12","1","101","0","0","0","1"
"29","29","401","2249469","28771309","4","0","0","0","0","96","0","160","0","1","185","0","296","0","3","271","0","474","0","4","0","0","0","0","0","0","0","0","0","0","273","478","4","402","0","0","3","4"
"36","36","134","52064079","97706487","5","3","8","0","0","48","19","32","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","49","32","0","135","1","0","0","1"
"34","34","297","4917658","56345860","35","0","82","0","0","233","42","290","10","4","309","42","473","10","5","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","346","548","6","298","0","0","8","8"
"33","33","404","81522418","35785564","5","0","2","0","0","33","0","34","0","0","159","0","274","0","6","365","26","534","6","10","0","0","0","0","0","0","0","0","0","0","365","536","10","405","2","5","5","7"
"35","35","278","8074323","45030945","26","2","78","0","0","490","70","645","9","6","674","70","924","9","14","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","674","929","14","279","0","0","18","29"
"39","39","111","67551394","99146328","14","0","32","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","96","135","1","112","0","0","0","3"
