"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4.1trials10kCtrl1NStartCtrl2M.nlogo"
"experiments 2 seeds"
"03/20/2021 19:15:20:727 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"28","28","253","97526189","36517817","29959085","3","0","4","0","0","11","0","16","0","0","11","0","19","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","11","19","0","254","0","1","0","2"
"45","45","256","97179470","62560178","58092175","4","0","1","0","0","4","0","2","0","0","6","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","2","0","257","0","0","0","0"
"40","40","241","3602106","51776405","60448235","8","0","20","0","0","67","12","90","7","0","68","12","91","7","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","68","91","0","242","0","0","0","1"
"32","32","267","70925031","60297825","83265554","3","0","4","0","0","6","0","12","0","1","6","0","14","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","15","1","268","0","0","0","1"
"23","23","284","64906449","61082360","71600702","4","0","4","0","0","27","14","17","5","0","28","14","18","5","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","34","20","0","285","0","0","0","2"
"31","31","294","6053550","31640199","74275454","2","0","1","0","0","4","0","5","0","0","4","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","13","1","295","1","2","0","2"
"24","24","319","39912531","76719610","13592280","4","0","6","0","0","9","0","12","0","0","11","0","12","0","1","18","0","16","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","18","16","1","320","0","0","0","0"
"48","48","305","32862769","72437350","71645281","11","10","7","3","0","33","11","28","3","0","34","11","30","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","42","35","0","306","0","0","0","1"
"30","30","269","25425989","10853444","37062578","26","1","49","1","1","139","41","171","12","4","142","41","178","12","4","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","144","178","4","270","0","0","3","3"
"9","9","316","52225802","10416085","15795628","13","0","7","0","0","96","6","108","4","1","99","6","118","4","1","115","6","132","4","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","115","132","1","317","0","1","2","3"
"2","2","274","821528","85052747","79039483","32","9","50","3","0","169","36","267","13","2","183","37","301","15","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","201","307","3","275","0","0","6","5"
"39","39","367","67551394","99146328","81418827","14","0","32","0","0","96","10","135","3","1","98","10","138","3","1","113","10","153","3","1","119","10","155","3","1","-1","-1","-1","-1","-1","119","155","1","368","0","0","0","4"
"18","18","357","57167994","65638743","87085666","19","1","50","0","0","70","18","135","1","1","72","18","142","1","1","149","18","290","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","152","290","1","358","0","0","2","1"
"13","13","377","44009159","8964737","69800288","3","0","0","0","0","16","0","8","0","0","18","0","12","0","0","180","0","271","0","3","212","0","302","0","5","-1","-1","-1","-1","-1","212","302","5","378","1","0","2","6"
"49","49","236","28006094","31077160","61439941","4","0","4","0","0","25","11","18","3","1","25","11","20","3","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","25","20","1","237","0","0","0","0"
"21","21","496","66383352","97632641","44435694","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","30","0","20","0","0","49","0","49","0","0","123","0","172","0","0","124","173","0","497","0","0","0","0"
"4","4","427","85501717","66634576","33544962","1","0","2","0","0","1","0","2","0","0","3","0","4","0","1","147","0","329","0","3","226","33","381","7","4","-1","-1","-1","-1","-1","257","394","4","428","1","2","3","3"
"36","36","456","52064079","97706487","25837554","5","3","8","0","0","48","19","32","0","0","51","19","38","0","0","189","36","324","5","0","211","36","362","5","2","228","36","380","5","2","228","380","2","457","1","0","4","1"
"5","5","509","11395600","46749482","55101658","5","0","2","0","0","6","0","3","0","0","6","0","6","0","0","18","0","20","0","0","63","0","85","0","0","100","0","141","0","0","105","148","0","510","0","2","2","2"
"8","8","514","87143558","30513963","31823795","13","11","9","4","0","44","11","72","4","0","46","11","78","4","0","54","11","87","4","0","65","11","98","4","0","134","11","246","4","2","137","250","2","515","0","0","0","4"
"51","51","303","77907762","97899773","63783044","5","1","6","0","0","17","7","24","6","1","17","7","26","6","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","17","30","1","304","0","1","2","1"
