"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4noCtrlNStart10k.nlogo"
"experiments 2 seeds"
"02/04/2021 22:06:20:375 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"10","10","281","22141847","5084778","99092997","19","0","41","0","1","818","60","1183","14","10","1006","60","1648","14","16","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1009","1652","16","282","28","87","17","33"
"5","5","283","11395600","46749482","55101658","3","0","2","0","0","534","58","648","18","7","1038","58","1504","18","21","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1042","1513","21","284","16","56","27","35"
"14","14","278","58696853","66116717","29143090","14","8","6","3","0","884","66","1212","12","17","1072","66","1624","12","25","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1075","1629","25","279","20","46","24","44"
"18","18","337","57167994","65638743","87085666","22","0","61","1","0","636","57","964","21","11","900","57","1376","21","18","905","57","1416","21","18","0","0","0","0","0","0","0","0","0","0","905","1417","18","338","22","56","24","29"
"4","4","338","85501717","66634576","33544962","1","0","2","0","0","74","16","142","7","1","942","63","1374","15","21","1009","63","1485","15","23","0","0","0","0","0","0","0","0","0","0","1010","1486","23","339","16","33","25","42"
"24","24","336","39912531","76719610","13592280","10","0","16","0","0","613","62","836","17","12","1034","62","1540","17","21","1050","62","1558","17","21","0","0","0","0","0","0","0","0","0","0","1050","1559","21","337","21","78","32","38"
"2","2","336","821528","85052747","79039483","24","0","41","0","0","686","60","1018","14","6","990","60","1560","14","17","998","60","1577","14","17","0","0","0","0","0","0","0","0","0","0","999","1577","17","337","28","38","14","46"
"19","19","337","31405674","57152599","97674910","2","0","2","0","0","372","63","533","10","3","1004","70","1482","11","14","1036","70","1545","11","15","0","0","0","0","0","0","0","0","0","0","1036","1546","15","338","26","55","17","39"
"23","23","335","64906449","61082360","71600702","6","1","11","1","0","759","61","1076","16","18","1003","61","1583","16","24","1017","61","1625","16","24","0","0","0","0","0","0","0","0","0","0","1017","1625","24","336","30","66","27","50"
"6","6","317","63287122","69609210","74834936","45","4","73","0","0","920","67","1298","12","14","1104","67","1709","12","18","1111","67","1712","12","18","0","0","0","0","0","0","0","0","0","0","1111","1712","18","318","28","90","16","43"
"15","15","281","66508631","45421485","89682049","7","0","8","0","0","631","54","910","15","8","1144","54","1819","15","18","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1146","1835","18","282","31","111","21","65"
"17","17","387","25067194","60688251","9903643","40","10","95","1","0","866","56","1205","16","11","1020","56","1491","16","12","1028","56","1512","16","13","0","0","0","0","0","0","0","0","0","0","1029","1512","13","388","23","60","19","40"
"1","1","288","88938869","24928751","82712124","24","4","66","0","0","1033","69","1555","13","15","1141","69","1877","13","16","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1143","1880","16","289","31","129","12","67"
"21","21","353","66383352","97632641","44435694","3","0","2","0","0","250","76","184","20","3","1007","81","1448","21","16","1047","81","1546","21","17","0","0","0","0","0","0","0","0","0","0","1049","1550","17","354","19","48","20","39"
"8","8","336","87143558","30513963","31823795","13","11","10","4","0","776","72","1082","22","9","1059","72","1694","22","13","1067","72","1735","22","13","0","0","0","0","0","0","0","0","0","0","1067","1736","13","337","18","88","21","46"
"16","16","376","71489839","80162375","94721921","5","0","5","0","0","99","41","83","19","2","1062","54","1711","24","20","1089","54","1781","24","20","0","0","0","0","0","0","0","0","0","0","1089","1781","20","377","29","119","30","46"
